test_id,biomarker,exposure_axis,ranking_method,destination_sex,outcome_id,outcome_name,organ_system_id,organ_system_name,sex_beta,sex_se,sex_z,beta_interaction,p_interaction,bh_q_interaction_fixed406,interaction_direction_supports_destination
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,effect,male,emphysema,Emphysema,respiratory,Respiratory,-0.2513939310782649,0.0951071983203709,-2.6432692321714533,0.1457714680156036,0.3108340561407421,0.7215600217986957,False
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,-0.2204830490371924,0.037259712634778,-5.917465096909921,-0.1046357810024378,0.0697491590401389,0.3979861861784668,False
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,z,male,chronic_bronchitis,Chronic bronchitis,respiratory,Respiratory,-0.2346998608862296,0.0788988803057477,-2.9746919091465482,0.1137507067414497,0.2417503535189915,0.6291707918507088,False
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,-0.2204830490371924,0.037259712634778,-5.917465096909921,-0.1046357810024378,0.0697491590401389,0.3979861861784668,False
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,effect,male,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.234377901682409,0.0652594614687981,-3.5914777169050027,0.0495926451023482,0.5443466311607055,0.8647580788163564,False
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,effect,female,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.2017340896448623,0.0677789431210126,-2.9763534271209577,0.0495926451023482,0.5443466311607055,0.8647580788163564,True
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,z,male,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.234377901682409,0.0652594614687981,-3.5914777169050027,0.0495926451023482,0.5443466311607055,0.8647580788163564,False
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,z,female,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.2017340896448623,0.0677789431210126,-2.9763534271209577,0.0495926451023482,0.5443466311607055,0.8647580788163564,True
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,effect,male,myocardial_infarction,Myocardial infarction,cardiovascular,Cardiovascular,0.1859232044978858,0.0770156097978617,2.4140976743009293,-0.3353845470127669,0.0004648404675788,0.0209694699818886,True
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,effect,female,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.1931959887626556,0.0793287365974096,-2.43538466701062,-0.1286131308818807,0.1940925557961522,0.601201534064582,False
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,z,male,myocardial_infarction,Myocardial infarction,cardiovascular,Cardiovascular,0.1859232044978858,0.0770156097978617,2.4140976743009293,-0.3353845470127669,0.0004648404675788,0.0209694699818886,True
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,-0.1080894193359137,0.0374653481387106,-2.885050445433648,-0.1123998469104497,0.0382554041466267,0.2892197661621588,False
NHANES_URXBPH,URXBPH,bisphenol exposure axis,effect,male,chronic_bronchitis,Chronic bronchitis,respiratory,Respiratory,0.145575886125822,0.0526265772804704,2.766204713447038,-0.0446814078630426,0.4537714114142832,0.8336253078470542,True
NHANES_URXBPH,URXBPH,bisphenol exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.1453242660541666,0.0313163189835762,4.640528349784075,0.0839637370465925,0.0476402241125943,0.3170808358969391,True
NHANES_URXBPH,URXBPH,bisphenol exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.0849425353796721,0.0291379773885921,2.9151829671241427,0.0839637370465925,0.0476402241125943,0.3170808358969391,False
NHANES_URXBPH,URXBPH,bisphenol exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1453242660541666,0.0313163189835762,4.640528349784075,0.0839637370465925,0.0476402241125943,0.3170808358969391,True
NHANES_URXCOP,URXCOP,DINP-related exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.0818071073305933,0.0216036289961423,3.786729875115027,0.0603248488081254,0.0163660616217215,0.1883645502217989,False
NHANES_URXCOP,URXCOP,DINP-related exposure axis,effect,female,T2D,Type 2 diabetes,metabolic,Metabolic,0.1523371119612364,0.0250648868361051,6.077709943689037,0.134691973799623,0.0005762428945575,0.0223700772825267,True
NHANES_URXCOP,URXCOP,DINP-related exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.0818071073305933,0.0216036289961423,3.786729875115027,0.0603248488081254,0.0163660616217215,0.1883645502217989,False
NHANES_URXCOP,URXCOP,DINP-related exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1480386829901337,0.0184416337500499,8.027416930440511,0.0603248488081254,0.0163660616217215,0.1883645502217989,True
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.117740964301884,0.0227147121176094,5.183467159621462,0.0397846382018587,0.1242411283792127,0.4919225107746001,False
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.200018875735131,0.0213901164209957,9.350995188544196,0.0397846382018587,0.1242411283792127,0.4919225107746001,True
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.117740964301884,0.0227147121176094,5.183467159621462,0.0397846382018587,0.1242411283792127,0.4919225107746001,False
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.200018875735131,0.0213901164209957,9.350995188544196,0.0397846382018587,0.1242411283792127,0.4919225107746001,True
NHANES_URXMBP,URXMBP,phthalate exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.0752759243441134,0.0212560516886659,3.541387904332762,0.0739133730668309,0.0091560935115769,0.1205133826997023,False
NHANES_URXMBP,URXMBP,phthalate exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.1355043468864067,0.0182385503764801,7.429556850151267,0.0739133730668309,0.0091560935115769,0.1205133826997023,True
NHANES_URXMBP,URXMBP,phthalate exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.0752759243441134,0.0212560516886659,3.541387904332762,0.0739133730668309,0.0091560935115769,0.1205133826997023,False
NHANES_URXMBP,URXMBP,phthalate exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1355043468864067,0.0182385503764801,7.429556850151267,0.0739133730668309,0.0091560935115769,0.1205133826997023,True
NHANES_URXMEP,URXMEP,phthalate exposure axis,effect,male,emphysema,Emphysema,respiratory,Respiratory,-0.0891607252320235,0.0390562396401047,-2.282880432259261,0.018681431234306,0.7989112850574333,0.9573168049977776,False
