test_id,biomarker,exposure_axis,male_top_outcome_effect,male_top_system_effect,male_top_beta_effect,male_top_z_effect,female_top_outcome_effect,female_top_system_effect,female_top_beta_effect,female_top_z_effect,cross_disease_effect,cross_system_effect,male_top_outcome_z,male_top_system_z,male_top_beta_z,male_top_z_z,female_top_outcome_z,female_top_system_z,female_top_beta_z,female_top_z_z,cross_disease_z,cross_system_z
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,emphysema,respiratory,-0.2513939310782649,-2.6432692321714533,obesity,metabolic,-0.2204830490371924,-5.917465096909921,True,True,chronic_bronchitis,respiratory,-0.2346998608862296,-2.9746919091465482,obesity,metabolic,-0.2204830490371924,-5.917465096909921,True,True
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,congestive_heart_failure,cardiovascular,-0.234377901682409,-3.5914777169050027,congestive_heart_failure,cardiovascular,-0.2017340896448623,-2.9763534271209577,False,False,congestive_heart_failure,cardiovascular,-0.234377901682409,-3.5914777169050027,congestive_heart_failure,cardiovascular,-0.2017340896448623,-2.9763534271209577,False,False
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,myocardial_infarction,cardiovascular,0.1859232044978858,2.4140976743009293,congestive_heart_failure,cardiovascular,-0.1931959887626556,-2.43538466701062,True,False,myocardial_infarction,cardiovascular,0.1859232044978858,2.4140976743009293,obesity,metabolic,-0.1080894193359137,-2.885050445433648,True,True
NHANES_URXBPH,URXBPH,bisphenol exposure axis,chronic_bronchitis,respiratory,0.145575886125822,2.766204713447038,obesity,metabolic,0.1453242660541666,4.640528349784075,True,True,obesity,metabolic,0.0849425353796721,2.9151829671241427,obesity,metabolic,0.1453242660541666,4.640528349784075,False,False
NHANES_URXCOP,URXCOP,DINP-related exposure axis,obesity,metabolic,0.0818071073305933,3.786729875115027,T2D,metabolic,0.1523371119612364,6.077709943689037,True,False,obesity,metabolic,0.0818071073305933,3.786729875115027,obesity,metabolic,0.1480386829901337,8.027416930440511,False,False
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,obesity,metabolic,0.117740964301884,5.183467159621462,obesity,metabolic,0.200018875735131,9.350995188544196,False,False,obesity,metabolic,0.117740964301884,5.183467159621462,obesity,metabolic,0.200018875735131,9.350995188544196,False,False
NHANES_URXMBP,URXMBP,phthalate exposure axis,obesity,metabolic,0.0752759243441134,3.541387904332762,obesity,metabolic,0.1355043468864067,7.429556850151267,False,False,obesity,metabolic,0.0752759243441134,3.541387904332762,obesity,metabolic,0.1355043468864067,7.429556850151267,False,False
NHANES_URXMEP,URXMEP,phthalate exposure axis,emphysema,respiratory,-0.0891607252320235,-2.282880432259261,obesity,metabolic,0.0838627163207976,5.29158485795284,True,True,obesity,metabolic,0.0431158293350157,2.65040559779434,obesity,metabolic,0.0838627163207976,5.29158485795284,False,False
NHANES_URXMHH,URXMHH,DEHP-related exposure axis,obesity,metabolic,0.1007916301846197,5.187130622555202,obesity,metabolic,0.1610946723297401,8.411903689132647,False,False,obesity,metabolic,0.1007916301846197,5.187130622555202,obesity,metabolic,0.1610946723297401,8.411903689132647,False,False
NHANES_URXMHP,URXMHP,DEHP-related exposure axis,myocardial_infarction,cardiovascular,0.132365776314157,2.756104218456248,coronary_heart_disease,cardiovascular,0.120816755256181,2.150084397718978,True,False,myocardial_infarction,cardiovascular,0.132365776314157,2.756104218456248,coronary_heart_disease,cardiovascular,0.120816755256181,2.150084397718978,True,False
NHANES_URXMIB,URXMIB,phthalate exposure axis,myocardial_infarction,cardiovascular,0.0892533837829803,1.875737467377423,coronary_heart_disease,cardiovascular,0.1973369605133767,3.189264808329923,True,False,obesity,metabolic,0.0665160168226199,2.911459731741981,obesity,metabolic,0.1815586645661258,8.353124139371996,False,False
NHANES_URXMOH,URXMOH,DEHP-related exposure axis;phthalate exposure axis,obesity,metabolic,0.1020394012631596,5.030337754186139,obesity,metabolic,0.1605625844659709,8.408937616149812,False,False,obesity,metabolic,0.1020394012631596,5.030337754186139,obesity,metabolic,0.1605625844659709,8.408937616149812,False,False
NHANES_URXMZP,URXMZP,phthalate exposure axis,obesity,metabolic,0.1030278089905797,5.364146374094097,obesity,metabolic,0.1712400359645781,9.949092433400665,False,False,obesity,metabolic,0.1030278089905797,5.364146374094097,obesity,metabolic,0.1712400359645781,9.949092433400665,False,False
NHANES_URXP02,URXP02,PAH exposure axis,obesity,metabolic,0.1657519818002386,6.020734932507312,obesity,metabolic,0.205441591688149,7.803824175417866,False,False,obesity,metabolic,0.1657519818002386,6.020734932507312,obesity,metabolic,0.205441591688149,7.803824175417866,False,False
NHANES_URXP04,URXP04,PAH exposure axis,emphysema,respiratory,0.1452478914962393,1.6701641609095077,emphysema,respiratory,0.1998408890454232,2.0750488883051474,False,False,obesity,metabolic,0.1254067469851771,4.886290005801213,obesity,metabolic,0.1648874066457274,6.643229552966936,False,False
NHANES_URXP10,URXP10,PAH exposure axis,stroke,cardiovascular,-0.1317525644394723,-2.526990080487131,coronary_heart_disease,cardiovascular,0.1877711003501325,2.5652409991157343,True,False,obesity,metabolic,0.0750635260195937,2.944784959421712,obesity,metabolic,0.1436057238573972,5.448303987673662,False,False
NHANES_URXP25,URXP25,PAH exposure axis,obesity,metabolic,0.1261917943148894,2.2751909850030945,myocardial_infarction,cardiovascular,0.2988902689416287,2.903149328341513,True,True,obesity,metabolic,0.1261917943148894,2.2751909850030945,obesity,metabolic,0.260577719331736,6.056673601229704,False,False
NHANES_URXUBA,URXUBA,metal exposure axis,congestive_heart_failure,cardiovascular,-0.2006044432388051,-3.921211715296133,obesity,metabolic,0.160704067534203,7.694718507891392,True,True,congestive_heart_failure,cardiovascular,-0.2006044432388051,-3.921211715296133,obesity,metabolic,0.160704067534203,7.694718507891392,True,True
NHANES_URXUCD,URXUCD,metal exposure axis,emphysema,respiratory,0.2597470912511422,2.6863251904380534,emphysema,respiratory,0.2813203588608634,2.0695485605586534,False,False,emphysema,respiratory,0.2597470912511422,2.6863251904380534,obesity,metabolic,0.0943107300207138,3.4577075000225386,True,True
NHANES_URXUCO,URXUCO,metal exposure axis,obesity,metabolic,0.162970450544268,4.0648200792071325,congestive_heart_failure,cardiovascular,0.2610947391180798,3.86661575008345,True,True,obesity,metabolic,0.162970450544268,4.0648200792071325,obesity,metabolic,0.1353837524647038,5.549012413940574,False,False
