subtype,n_donor_condition,spearman_rho,p
C1QC_like_TAM,18,0.25956622218098974,0.29826963801603795
FCN1_inflammatory_monocyte_like,17,-0.02233422524958636,0.9321961374918125
SPP1_like_TAM,11,0.20005410523567121,0.5553362494264896
resident_like,15,0.27503683044865335,0.32114373387427975
