donor_id,condition,subtype,driver_7gene_mean,n_cells
KUL01,border,C1QC_like_TAM,-0.052777115,11
KUL01,border,FCN1_inflammatory_monocyte_like,0.07565824,144
KUL01,border,SPP1_like_TAM,0.1739161,190
KUL01,border,resident_like,-0.38843462,2
KUL01,normal,C1QC_like_TAM,-0.3167639,69
KUL01,normal,FCN1_inflammatory_monocyte_like,0.09806712,122
KUL01,normal,SPP1_like_TAM,-0.1861536,1
KUL01,normal,resident_like,-0.3272805,148
KUL01,tumor,C1QC_like_TAM,-0.43165013,16
KUL01,tumor,FCN1_inflammatory_monocyte_like,0.07063457,161
KUL01,tumor,SPP1_like_TAM,0.19737485,156
KUL01,tumor,resident_like,-0.1576246,7
KUL19,border,C1QC_like_TAM,-0.12354616,53
KUL19,border,FCN1_inflammatory_monocyte_like,0.07874898,32
KUL19,border,SPP1_like_TAM,0.068887345,3
KUL19,border,resident_like,-0.2774122,30
KUL19,normal,C1QC_like_TAM,0.08517535,53
KUL19,normal,FCN1_inflammatory_monocyte_like,0.06655308,59
KUL19,normal,SPP1_like_TAM,,0
KUL19,normal,resident_like,-0.21011241,128
KUL19,tumor,C1QC_like_TAM,-0.047044955,129
KUL19,tumor,FCN1_inflammatory_monocyte_like,0.0476806,35
KUL19,tumor,SPP1_like_TAM,0.00974579,8
KUL19,tumor,resident_like,-0.15716787,9
KUL21,border,C1QC_like_TAM,-0.33868834,11
KUL21,border,FCN1_inflammatory_monocyte_like,0.12773064,136
KUL21,border,SPP1_like_TAM,0.11238636,9
KUL21,border,resident_like,-0.008855567,84
KUL21,normal,C1QC_like_TAM,-0.43808654,18
KUL21,normal,FCN1_inflammatory_monocyte_like,-0.058086645,30
KUL21,normal,SPP1_like_TAM,,0
KUL21,normal,resident_like,-0.15580808,30
KUL21,tumor,C1QC_like_TAM,-0.23832668,2
KUL21,tumor,FCN1_inflammatory_monocyte_like,0.093270935,139
KUL21,tumor,SPP1_like_TAM,-0.15801682,9
KUL21,tumor,resident_like,0.013820892,84
KUL28,border,C1QC_like_TAM,-0.0016536828,22
KUL28,border,FCN1_inflammatory_monocyte_like,-0.21399827,11
KUL28,border,SPP1_like_TAM,0.14540525,1
KUL28,border,resident_like,,0
KUL28,normal,C1QC_like_TAM,-0.03280133,5
KUL28,normal,FCN1_inflammatory_monocyte_like,0.008828431,2
KUL28,normal,SPP1_like_TAM,,0
KUL28,normal,resident_like,-0.21625508,7
KUL28,tumor,C1QC_like_TAM,-0.26836932,26
KUL28,tumor,FCN1_inflammatory_monocyte_like,0.07328594,14
KUL28,tumor,SPP1_like_TAM,0.43392113,12
KUL28,tumor,resident_like,-0.18117374,4
KUL30,border,C1QC_like_TAM,0.08396137,37
KUL30,border,FCN1_inflammatory_monocyte_like,0.056613132,22
KUL30,border,SPP1_like_TAM,0.054016817,11
KUL30,border,resident_like,0.019392129,4
KUL30,normal,C1QC_like_TAM,0.19772851,2
KUL30,normal,FCN1_inflammatory_monocyte_like,0.11601399,29
KUL30,normal,SPP1_like_TAM,,0
KUL30,normal,resident_like,-0.31271535,31
KUL30,tumor,C1QC_like_TAM,0.14121027,30
KUL30,tumor,FCN1_inflammatory_monocyte_like,0.27312225,31
KUL30,tumor,SPP1_like_TAM,,0
KUL30,tumor,resident_like,-0.2180952,1
KUL31,border,C1QC_like_TAM,0.14624597,39
KUL31,border,FCN1_inflammatory_monocyte_like,0.3956632,5
KUL31,border,SPP1_like_TAM,-0.13129108,16
KUL31,border,resident_like,,0
KUL31,normal,C1QC_like_TAM,-0.20361073,6
KUL31,normal,FCN1_inflammatory_monocyte_like,0.06218535,13
KUL31,normal,SPP1_like_TAM,,0
KUL31,normal,resident_like,-0.32584184,10
KUL31,tumor,C1QC_like_TAM,-0.3664149,5
KUL31,tumor,FCN1_inflammatory_monocyte_like,,0
KUL31,tumor,SPP1_like_TAM,,0
KUL31,tumor,resident_like,,0
