donor_id,condition,subtype,n_cells,fraction
KUL01,border,C1QC_like_TAM,11,0.03170028818443804
KUL01,border,FCN1_inflammatory_monocyte_like,144,0.414985590778098
KUL01,border,SPP1_like_TAM,190,0.547550432276657
KUL01,border,resident_like,2,0.005763688760806916
KUL01,normal,C1QC_like_TAM,69,0.20294117647058824
KUL01,normal,FCN1_inflammatory_monocyte_like,122,0.3588235294117647
KUL01,normal,SPP1_like_TAM,1,0.0029411764705882353
KUL01,normal,resident_like,148,0.43529411764705883
KUL01,tumor,C1QC_like_TAM,16,0.047058823529411764
KUL01,tumor,FCN1_inflammatory_monocyte_like,161,0.47352941176470587
KUL01,tumor,SPP1_like_TAM,156,0.4588235294117647
KUL01,tumor,resident_like,7,0.020588235294117647
KUL19,border,C1QC_like_TAM,53,0.4491525423728814
KUL19,border,FCN1_inflammatory_monocyte_like,32,0.2711864406779661
KUL19,border,SPP1_like_TAM,3,0.025423728813559324
KUL19,border,resident_like,30,0.2542372881355932
KUL19,normal,C1QC_like_TAM,53,0.22083333333333333
KUL19,normal,FCN1_inflammatory_monocyte_like,59,0.24583333333333332
KUL19,normal,SPP1_like_TAM,0,0.0
KUL19,normal,resident_like,128,0.5333333333333333
KUL19,tumor,C1QC_like_TAM,129,0.712707182320442
KUL19,tumor,FCN1_inflammatory_monocyte_like,35,0.19337016574585636
KUL19,tumor,SPP1_like_TAM,8,0.04419889502762431
KUL19,tumor,resident_like,9,0.049723756906077346
KUL21,border,C1QC_like_TAM,11,0.04583333333333333
KUL21,border,FCN1_inflammatory_monocyte_like,136,0.5666666666666667
KUL21,border,SPP1_like_TAM,9,0.0375
KUL21,border,resident_like,84,0.35
KUL21,normal,C1QC_like_TAM,18,0.23076923076923078
KUL21,normal,FCN1_inflammatory_monocyte_like,30,0.38461538461538464
KUL21,normal,SPP1_like_TAM,0,0.0
KUL21,normal,resident_like,30,0.38461538461538464
KUL21,tumor,C1QC_like_TAM,2,0.008547008547008548
KUL21,tumor,FCN1_inflammatory_monocyte_like,139,0.594017094017094
KUL21,tumor,SPP1_like_TAM,9,0.038461538461538464
KUL21,tumor,resident_like,84,0.358974358974359
KUL28,border,C1QC_like_TAM,22,0.6470588235294118
KUL28,border,FCN1_inflammatory_monocyte_like,11,0.3235294117647059
KUL28,border,SPP1_like_TAM,1,0.029411764705882353
KUL28,border,resident_like,0,0.0
KUL28,normal,C1QC_like_TAM,5,0.35714285714285715
KUL28,normal,FCN1_inflammatory_monocyte_like,2,0.14285714285714285
KUL28,normal,SPP1_like_TAM,0,0.0
KUL28,normal,resident_like,7,0.5
KUL28,tumor,C1QC_like_TAM,26,0.4642857142857143
KUL28,tumor,FCN1_inflammatory_monocyte_like,14,0.25
KUL28,tumor,SPP1_like_TAM,12,0.21428571428571427
KUL28,tumor,resident_like,4,0.07142857142857142
KUL30,border,C1QC_like_TAM,37,0.5
KUL30,border,FCN1_inflammatory_monocyte_like,22,0.2972972972972973
KUL30,border,SPP1_like_TAM,11,0.14864864864864866
KUL30,border,resident_like,4,0.05405405405405406
KUL30,normal,C1QC_like_TAM,2,0.03225806451612903
KUL30,normal,FCN1_inflammatory_monocyte_like,29,0.46774193548387094
KUL30,normal,SPP1_like_TAM,0,0.0
KUL30,normal,resident_like,31,0.5
KUL30,tumor,C1QC_like_TAM,30,0.4838709677419355
KUL30,tumor,FCN1_inflammatory_monocyte_like,31,0.5
KUL30,tumor,SPP1_like_TAM,0,0.0
KUL30,tumor,resident_like,1,0.016129032258064516
KUL31,border,C1QC_like_TAM,39,0.65
KUL31,border,FCN1_inflammatory_monocyte_like,5,0.08333333333333333
KUL31,border,SPP1_like_TAM,16,0.26666666666666666
KUL31,border,resident_like,0,0.0
KUL31,normal,C1QC_like_TAM,6,0.20689655172413793
KUL31,normal,FCN1_inflammatory_monocyte_like,13,0.4482758620689655
KUL31,normal,SPP1_like_TAM,0,0.0
KUL31,normal,resident_like,10,0.3448275862068966
KUL31,tumor,C1QC_like_TAM,5,1.0
KUL31,tumor,FCN1_inflammatory_monocyte_like,0,0.0
KUL31,tumor,SPP1_like_TAM,0,0.0
KUL31,tumor,resident_like,0,0.0
