cluster,subtype,cell_count,donor_count,tumor_count,normal_count,border_count,dataset_batch_count,epithelial_marker_detection_fraction,lymphoid_marker_detection_fraction,cycling_marker_detection_fraction,low_confidence_one_donor
0,SPP1_like_TAM,416,6,185,1,230,11,0.8942307692307693,0.27403846153846156,0.0889423076923077,False
1,resident_like,186,4,92,10,84,8,0.6666666666666666,0.11827956989247312,0.03763440860215054,False
2,FCN1_inflammatory_monocyte_like,270,4,147,0,123,6,0.9629629629629629,0.13333333333333333,0.1,False
3,C1QC_like_TAM,420,6,208,44,168,18,0.44047619047619047,0.2857142857142857,0.11428571428571428,False
4,FCN1_inflammatory_monocyte_like,424,6,93,255,76,17,0.32075471698113206,0.08962264150943396,0.014150943396226415,False
5,FCN1_inflammatory_monocyte_like,291,6,140,0,151,10,0.5532646048109966,0.08934707903780069,0.03436426116838488,False
6,resident_like,393,6,13,344,36,13,0.24681933842239187,0.02544529262086514,0.005089058524173028,False
7,C1QC_like_TAM,114,6,0,109,5,8,0.39473684210526316,0.14035087719298245,0.02631578947368421,False
