gene,condition,subtype,mean_expression,detection_fraction,n_cells
NEAT1,border,C1QC_like_TAM,2.1555314,0.7861271676300579,173
NEAT1,border,FCN1_inflammatory_monocyte_like,2.9834085,0.9714285714285714,350
NEAT1,border,SPP1_like_TAM,2.5829802,0.9391304347826087,230
NEAT1,border,resident_like,2.75507,0.9583333333333334,120
NEAT1,normal,C1QC_like_TAM,1.6871653,0.7843137254901961,153
NEAT1,normal,FCN1_inflammatory_monocyte_like,3.1499636,0.9921568627450981,255
NEAT1,normal,SPP1_like_TAM,1.9756327,1.0,1
NEAT1,normal,resident_like,2.490229,0.9096045197740112,354
NEAT1,tumor,C1QC_like_TAM,2.160121,0.7836538461538461,208
NEAT1,tumor,FCN1_inflammatory_monocyte_like,3.0975797,0.9631578947368421,380
NEAT1,tumor,SPP1_like_TAM,2.721662,0.9621621621621622,185
NEAT1,tumor,resident_like,2.8788898,0.9428571428571428,105
MMP9,border,C1QC_like_TAM,1.1401109,0.5202312138728323,173
MMP9,border,FCN1_inflammatory_monocyte_like,0.20684947,0.14,350
MMP9,border,SPP1_like_TAM,1.2449603,0.5739130434782609,230
MMP9,border,resident_like,0.103677176,0.075,120
MMP9,normal,C1QC_like_TAM,0.71182513,0.3660130718954248,153
MMP9,normal,FCN1_inflammatory_monocyte_like,0.04939612,0.03529411764705882,255
MMP9,normal,SPP1_like_TAM,0.0,0.0,1
MMP9,normal,resident_like,0.031824213,0.022598870056497175,354
MMP9,tumor,C1QC_like_TAM,0.921449,0.46634615384615385,208
MMP9,tumor,FCN1_inflammatory_monocyte_like,0.14064799,0.09210526315789473,380
MMP9,tumor,SPP1_like_TAM,0.95875007,0.5027027027027027,185
MMP9,tumor,resident_like,0.17876334,0.12380952380952381,105
TIMP1,border,C1QC_like_TAM,1.2349222,0.7109826589595376,173
TIMP1,border,FCN1_inflammatory_monocyte_like,2.5822322,0.9257142857142857,350
TIMP1,border,SPP1_like_TAM,2.66838,0.9478260869565217,230
TIMP1,border,resident_like,1.2220365,0.675,120
TIMP1,normal,C1QC_like_TAM,1.4193863,0.7908496732026143,153
TIMP1,normal,FCN1_inflammatory_monocyte_like,1.8749375,0.8588235294117647,255
TIMP1,normal,SPP1_like_TAM,0.93718886,1.0,1
TIMP1,normal,resident_like,1.2848176,0.655367231638418,354
TIMP1,tumor,C1QC_like_TAM,0.9914526,0.6442307692307693,208
TIMP1,tumor,FCN1_inflammatory_monocyte_like,2.4257352,0.8868421052631579,380
TIMP1,tumor,SPP1_like_TAM,2.9274926,0.9567567567567568,185
TIMP1,tumor,resident_like,1.8086573,0.8476190476190476,105
STAT3,border,C1QC_like_TAM,0.2953283,0.34104046242774566,173
STAT3,border,FCN1_inflammatory_monocyte_like,0.3882206,0.32571428571428573,350
STAT3,border,SPP1_like_TAM,0.32520187,0.34347826086956523,230
STAT3,border,resident_like,0.34440088,0.26666666666666666,120
STAT3,normal,C1QC_like_TAM,0.26115364,0.2875816993464052,153
STAT3,normal,FCN1_inflammatory_monocyte_like,0.3398122,0.2823529411764706,255
STAT3,normal,SPP1_like_TAM,0.93718886,1.0,1
STAT3,normal,resident_like,0.28234065,0.2062146892655367,354
STAT3,tumor,C1QC_like_TAM,0.3354036,0.3894230769230769,208
