donor_id,condition,subtype,dinp_crc_program_mean,dinp_crc_program_median,driver_7gene_mean,PTGER4_mean,PTGER4_detection_fraction,n_cells
KUL01,border,C1QC_like_TAM,-0.019964844,-0.0315862,-0.052777115,0.15237466,0.18181818181818182,11
KUL01,border,FCN1_inflammatory_monocyte_like,0.011305223,0.0103968,0.07565824,0.13019866,0.1388888888888889,144
KUL01,border,SPP1_like_TAM,0.044642102,0.04117007,0.1739161,0.12970832,0.1631578947368421,190
KUL01,border,resident_like,-0.10515378,-0.10515378,-0.38843462,0.0,0.0,2
KUL01,normal,C1QC_like_TAM,-0.039304484,-0.04621446,-0.3167639,0.08036662,0.08695652173913043,69
KUL01,normal,FCN1_inflammatory_monocyte_like,0.048182998,0.04871649,0.09806712,0.15849823,0.13934426229508196,122
KUL01,normal,SPP1_like_TAM,0.0309004,0.0309004,-0.1861536,0.0,0.0,1
KUL01,normal,resident_like,-0.047215328,-0.06649348,-0.3272805,0.14213504,0.11486486486486487,148
KUL01,tumor,C1QC_like_TAM,-0.11698848,-0.181418,-0.43165013,0.0,0.0,16
KUL01,tumor,FCN1_inflammatory_monocyte_like,0.03765533,0.027353657,0.07063457,0.16725768,0.14906832298136646,161
KUL01,tumor,SPP1_like_TAM,0.043791372,0.037324507,0.19737485,0.102699466,0.10897435897435898,156
KUL01,tumor,resident_like,-0.004128736,0.021888146,-0.1576246,0.0,0.0,7
KUL19,border,C1QC_like_TAM,0.018697305,0.032750506,-0.12354616,0.20847076,0.2830188679245283,53
KUL19,border,FCN1_inflammatory_monocyte_like,0.03574606,0.027089495,0.07874898,0.11174363,0.125,32
KUL19,border,SPP1_like_TAM,0.040361904,0.039258864,0.068887345,0.1792597,0.3333333333333333,3
KUL19,border,resident_like,-0.025087053,-0.031654477,-0.2774122,0.13038817,0.13333333333333333,30
KUL19,normal,C1QC_like_TAM,0.0056275865,0.016513947,0.08517535,0.3190247,0.3584905660377358,53
