disease_id,disease_name,pooled_cases,n_cycles,median_analytic_n,median_analytic_cases,estimable_tests,technical_fit_ok_or_warning,nominal_positive_tests,fdr_positive_tests,branch,technical_warning_count,replacement_eligible
NHANES_ANGINA,Physician-diagnosed angina or angina pectoris,1624,10,13716.0,361.0,29,29,6,0,Negative,0,False
NHANES_ARTHRITIS,Physician-diagnosed arthritis,14692,10,13733.0,3581.0,29,29,5,1,Positive,0,False
NHANES_ASTHMA,Physician-diagnosed asthma,7293,10,13753.0,1871.0,29,29,5,2,Positive,0,False
NHANES_CHRONIC_BRONCHITIS,Physician-diagnosed chronic bronchitis,3213,10,13743.0,791.0,29,29,5,3,Positive,0,False
NHANES_CONGESTIVE_HEART_FAILURE,Physician-diagnosed congestive heart failure,1906,10,13724.0,407.0,29,29,10,6,Positive,0,False
NHANES_CORONARY_HEART_DISEASE,Physician-diagnosed coronary heart disease,2351,10,13716.0,576.0,29,29,7,0,Negative,0,False
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,1134,10,13751.0,265.0,29,29,3,2,Positive,0,False
NHANES_HAY_FEVER,Physician-diagnosed hay fever,4375,3,2891.0,845.0,25,25,0,0,Negative,4,False
NHANES_HEART_ATTACK,Physician-diagnosed heart attack,2465,10,13745.0,589.0,29,29,14,10,Positive,0,False
NHANES_HIGH_BLOOD_PRESSURE,Ever told of hypertension/high blood pressure,19101,10,13721.0,4704.0,29,29,7,6,Positive,0,False
NHANES_HIGH_CHOLESTEROL,Ever told of high blood cholesterol,16901,10,11288.0,4298.0,29,29,9,4,Positive,0,False
NHANES_LIVER_CONDITION,Physician-diagnosed liver condition,2065,10,13745.0,496.0,29,29,4,2,Positive,0,False
NHANES_STROKE,Physician-diagnosed stroke,2197,10,13748.0,474.0,29,29,6,4,Positive,0,False
