cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160G,1999-2000_MCQ.XPT,9493,9493,4880,4874,95,4779
2001-2002,MCQ,MCQ160G,2001-2002_MCQ.XPT,10470,10470,5411,5403,96,5307
2003-2004,MCQ,MCQ160G,2003-2004_MCQ.XPT,9645,9645,5041,5031,118,4913
2005-2006,MCQ,MCQ160G,2005-2006_MCQ.XPT,9822,9822,4979,4970,98,4872
2007-2008,MCQ,MCQ160G,2007-2008_MCQ.XPT,9666,9666,5935,5924,164,5760
2009-2010,MCQ,MCQ160G,2009-2010_MCQ.XPT,10109,10109,6218,6214,137,6077
2011-2012,MCQ,MCQ160G,2011-2012_MCQ.XPT,9364,9364,5560,5550,100,5450
2013-2014,MCQ,MCQ160G,2013-2014_MCQ.XPT,9770,9770,5769,5766,95,5671
2015-2016,MCQ,MCQ160G,2015-2016_MCQ.XPT,9575,9575,5719,5712,125,5587
2017-2018,MCQ,MCQ160G,2017-2018_MCQ.XPT,8897,8897,5569,5556,106,5450
