cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160D,1999-2000_MCQ.XPT,9493,9493,4880,4854,180,4674
2001-2002,MCQ,MCQ160D,2001-2002_MCQ.XPT,10470,10470,5411,5379,199,5180
2003-2004,MCQ,MCQ160D,2003-2004_MCQ.XPT,9645,9645,5041,5021,212,4809
2005-2006,MCQ,MCQ160D,2005-2006_MCQ.XPT,9822,9822,4979,4962,155,4807
2007-2008,MCQ,MCQ160D,2007-2008_MCQ.XPT,9666,9666,5935,5913,164,5749
2009-2010,MCQ,MCQ160D,2009-2010_MCQ.XPT,10109,10109,6218,6200,155,6045
2011-2012,MCQ,MCQ160D,2011-2012_MCQ.XPT,9364,9364,5560,5541,129,5412
2013-2014,MCQ,MCQ160D,2013-2014_MCQ.XPT,9770,9770,5769,5761,136,5625
2015-2016,MCQ,MCQ160D,2015-2016_MCQ.XPT,9575,9575,5719,5701,133,5568
2017-2018,MCQ,MCQ160D,2017-2018_MCQ.XPT,8897,8897,5569,5539,161,5378
