cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,BPQ,BPQ080,1999-2000_BPQ.XPT,6044,6044,4880,3165,1166,1999
2001-2002,BPQ,BPQ080,2001-2002_BPQ.XPT,6634,6634,5411,3578,1336,2242
2003-2004,BPQ,BPQ080,2003-2004_BPQ.XPT,6213,6213,5041,3445,1510,1935
2005-2006,BPQ,BPQ080,2005-2006_BPQ.XPT,6139,6139,4979,3347,1386,1961
2007-2008,BPQ,BPQ080,2007-2008_BPQ.XPT,6546,6546,5935,4183,1906,2277
2009-2010,BPQ,BPQ080,2009-2010_BPQ.XPT,6889,6889,6218,4324,1875,2449
2011-2012,BPQ,BPQ080,2011-2012_BPQ.XPT,6175,6175,5560,5522,1826,3696
2013-2014,BPQ,BPQ080,2013-2014_BPQ.XPT,6464,6464,5769,5735,2009,3726
2015-2016,BPQ,BPQ080,2015-2016_BPQ.XPT,6327,6327,5719,5675,1939,3736
2017-2018,BPQ,BPQ080,2017-2018_BPQ.XPT,6161,6161,5569,5530,1948,3582
