cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,BPQ,BPQ020,1999-2000_BPQ.XPT,6044,6044,4880,4814,1487,3327
2001-2002,BPQ,BPQ020,2001-2002_BPQ.XPT,6634,6634,5411,5346,1638,3708
2003-2004,BPQ,BPQ020,2003-2004_BPQ.XPT,6213,6213,5041,4987,1749,3238
2005-2006,BPQ,BPQ020,2005-2006_BPQ.XPT,6139,6139,4979,4964,1574,3390
2007-2008,BPQ,BPQ020,2007-2008_BPQ.XPT,6546,6546,5935,5929,2124,3805
2009-2010,BPQ,BPQ020,2009-2010_BPQ.XPT,6889,6889,6218,6206,2192,4014
2011-2012,BPQ,BPQ020,2011-2012_BPQ.XPT,6175,6175,5560,5552,2003,3549
2013-2014,BPQ,BPQ020,2013-2014_BPQ.XPT,6464,6464,5769,5765,2145,3620
2015-2016,BPQ,BPQ020,2015-2016_BPQ.XPT,6327,6327,5719,5713,2070,3643
2017-2018,BPQ,BPQ020,2017-2018_BPQ.XPT,6161,6161,5569,5559,2119,3440
