cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160A,1999-2000_MCQ.XPT,9493,9493,4880,4873,1239,3634
2001-2002,MCQ,MCQ160A,2001-2002_MCQ.XPT,10470,10470,5411,5405,1331,4074
2003-2004,MCQ,MCQ160A,2003-2004_MCQ.XPT,9645,9645,5041,5027,1408,3619
2005-2006,MCQ,MCQ160A,2005-2006_MCQ.XPT,9822,9822,4979,4969,1247,3722
2007-2008,MCQ,MCQ160A,2007-2008_MCQ.XPT,9666,9666,5935,5925,1755,4170
2009-2010,MCQ,MCQ160A,2009-2010_MCQ.XPT,10109,10109,6218,6201,1674,4527
2011-2012,MCQ,MCQ160A,2011-2012_MCQ.XPT,9364,9364,5560,5550,1365,4185
2013-2014,MCQ,MCQ160A,2013-2014_MCQ.XPT,9770,9770,5769,5756,1508,4248
2015-2016,MCQ,MCQ160A,2015-2016_MCQ.XPT,9575,9575,5719,5708,1470,4238
2017-2018,MCQ,MCQ160A,2017-2018_MCQ.XPT,8897,8897,5569,5552,1695,3857
