cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160E,1999-2000_MCQ.XPT,9493,9493,4880,4864,221,4643
2001-2002,MCQ,MCQ160E,2001-2002_MCQ.XPT,10470,10470,5411,5399,258,5141
2003-2004,MCQ,MCQ160E,2003-2004_MCQ.XPT,9645,9645,5041,5030,274,4756
2005-2006,MCQ,MCQ160E,2005-2006_MCQ.XPT,9822,9822,4979,4971,215,4756
2007-2008,MCQ,MCQ160E,2007-2008_MCQ.XPT,9666,9666,5935,5924,282,5642
2009-2010,MCQ,MCQ160E,2009-2010_MCQ.XPT,10109,10109,6218,6201,261,5940
2011-2012,MCQ,MCQ160E,2011-2012_MCQ.XPT,9364,9364,5560,5552,203,5349
2013-2014,MCQ,MCQ160E,2013-2014_MCQ.XPT,9770,9770,5769,5766,230,5536
2015-2016,MCQ,MCQ160E,2015-2016_MCQ.XPT,9575,9575,5719,5710,251,5459
2017-2018,MCQ,MCQ160E,2017-2018_MCQ.XPT,8897,8897,5569,5559,270,5289
