cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160F,1999-2000_MCQ.XPT,9493,9493,4880,4877,190,4687
2001-2002,MCQ,MCQ160F,2001-2002_MCQ.XPT,10470,10470,5411,5401,204,5197
2003-2004,MCQ,MCQ160F,2003-2004_MCQ.XPT,9645,9645,5041,5033,212,4821
2005-2006,MCQ,MCQ160F,2005-2006_MCQ.XPT,9822,9822,4979,4970,193,4777
2007-2008,MCQ,MCQ160F,2007-2008_MCQ.XPT,9666,9666,5935,5917,258,5659
2009-2010,MCQ,MCQ160F,2009-2010_MCQ.XPT,10109,10109,6218,6210,227,5983
2011-2012,MCQ,MCQ160F,2011-2012_MCQ.XPT,9364,9364,5560,5555,229,5326
2013-2014,MCQ,MCQ160F,2013-2014_MCQ.XPT,9770,9770,5769,5764,202,5562
2015-2016,MCQ,MCQ160F,2015-2016_MCQ.XPT,9575,9575,5719,5714,209,5505
2017-2018,MCQ,MCQ160F,2017-2018_MCQ.XPT,8897,8897,5569,5559,273,5286
