disease_id,test_id,variable,cycle,data_file,weight_variable,weight_multiplier,local_xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFDE,LBXPFDE,2003-2004,L24PFC_C.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L24PFC_C.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFDE,LBXPFDE,2005-2006,PFC_D.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PFC_D.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFDE,LBXPFDE,2007-2008,PFC_E.xpt,WTSC2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PFC_E.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFDE,LBXPFDE,2009-2010,PFC_F.xpt,WTSC2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PFC_F.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFDE,LBXPFDE,2011-2012,PFC_G.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PFC_G.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFDE,LBXPFDE,2013-2014,PFAS_H.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PFAS_H.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFDE,LBXPFDE,2015-2016,PFAS_I.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PFAS_I.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFDE,LBXPFDE,2017-2018,PFAS_J.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PFAS_J.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFHS,LBXPFHS,2003-2004,L24PFC_C.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L24PFC_C.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFHS,LBXPFHS,2005-2006,PFC_D.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PFC_D.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFHS,LBXPFHS,2007-2008,PFC_E.xpt,WTSC2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PFC_E.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFHS,LBXPFHS,2009-2010,PFC_F.xpt,WTSC2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PFC_F.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFHS,LBXPFHS,2011-2012,PFC_G.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PFC_G.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFHS,LBXPFHS,2013-2014,PFAS_H.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PFAS_H.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFHS,LBXPFHS,2015-2016,PFAS_I.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PFAS_I.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFHS,LBXPFHS,2017-2018,PFAS_J.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PFAS_J.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFNA,LBXPFNA,2003-2004,L24PFC_C.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L24PFC_C.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFNA,LBXPFNA,2005-2006,PFC_D.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PFC_D.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFNA,LBXPFNA,2007-2008,PFC_E.xpt,WTSC2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PFC_E.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFNA,LBXPFNA,2009-2010,PFC_F.xpt,WTSC2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PFC_F.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFNA,LBXPFNA,2011-2012,PFC_G.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PFC_G.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFNA,LBXPFNA,2013-2014,PFAS_H.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PFAS_H.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFNA,LBXPFNA,2015-2016,PFAS_I.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PFAS_I.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_LBXPFNA,LBXPFNA,2017-2018,PFAS_J.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PFAS_J.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXBPH,URXBPH,2003-2004,L24EPH_C.xpt,WTSC2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L24EPH_C.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXBPH,URXBPH,2005-2006,EPH_D.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_EPH_D.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXBPH,URXBPH,2007-2008,EPH_E.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_EPH_E.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXBPH,URXBPH,2009-2010,EPH_F.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_EPH_F.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXBPH,URXBPH,2011-2012,EPH_G.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_EPH_G.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXCOP,URXCOP,2005-2006,PHTHTE_D.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PHTHTE_D.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXCOP,URXCOP,2007-2008,PHTHTE_E.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PHTHTE_E.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXCOP,URXCOP,2009-2010,PHTHTE_F.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PHTHTE_F.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXCOP,URXCOP,2011-2012,PHTHTE_G.xpt,WTSA2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PHTHTE_G.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXCOP,URXCOP,2013-2014,PHTHTE_H.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PHTHTE_H.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXCOP,URXCOP,2015-2016,PHTHTE_I.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PHTHTE_I.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXCOP,URXCOP,2017-2018,PHTHTE_J.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PHTHTE_J.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXECP,URXECP,2003-2004,L24PH_C.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L24PH_C.xpt
NHANES_CORONARY_HEART_DISEASE,NHANES_URXECP,URXECP,2005-2006,PHTHTE_D.xpt,WTSB2YR,1.0,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PHTHTE_D.xpt
