cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160K,1999-2000_MCQ.XPT,9493,9493,4880,4872,299,4573
2001-2002,MCQ,MCQ160K,2001-2002_MCQ.XPT,10470,10470,5411,5394,291,5103
2003-2004,MCQ,MCQ160K,2003-2004_MCQ.XPT,9645,9645,5041,5029,331,4698
2005-2006,MCQ,MCQ160K,2005-2006_MCQ.XPT,9822,9822,4979,4966,290,4676
2007-2008,MCQ,MCQ160K,2007-2008_MCQ.XPT,9666,9666,5935,5926,375,5551
2009-2010,MCQ,MCQ160K,2009-2010_MCQ.XPT,10109,10109,6218,6202,311,5891
2011-2012,MCQ,MCQ160K,2011-2012_MCQ.XPT,9364,9364,5560,5550,297,5253
2013-2014,MCQ,MCQ160K,2013-2014_MCQ.XPT,9770,9770,5769,5761,320,5441
2015-2016,MCQ,MCQ160K,2015-2016_MCQ.XPT,9575,9575,5719,5704,304,5400
2017-2018,MCQ,MCQ160K,2017-2018_MCQ.XPT,8897,8897,5569,5563,395,5168
