disease_id,test_id,variable,cycle,exposure_rows,exposure_nonmissing,outcome_rows,merge_rows,complete_case_rows,complete_case_cases
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMBP,URXMBP,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMBP,URXMBP,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMBP,URXMBP,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMBP,URXMBP,2013-2014,2777,2685,5769,1863,1638,618
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMBP,URXMBP,2015-2016,3205,2975,5719,1751,1509,560
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMBP,URXMBP,2017-2018,2986,2762,5569,1765,1451,523
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,1999-2000,2648,2536,4880,1521,1248,378
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2001-2002,2901,2782,5411,1713,1465,391
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2003-2004,2697,2605,5041,1585,1395,447
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2005-2006,2638,2548,4979,1543,1389,450
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2013-2014,2777,2685,5769,1863,1638,618
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2015-2016,3205,2975,5719,1751,1509,560
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMEP,URXMEP,2017-2018,2986,2762,5569,1765,1451,523
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2001-2002,2901,2782,5411,1713,1465,391
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2003-2004,2697,2605,5041,1585,1395,447
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2005-2006,2638,2548,4979,1543,1389,450
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2013-2014,2777,2685,5769,1863,1638,618
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2015-2016,3205,2975,5719,1751,1509,560
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHH,URXMHH,2017-2018,2986,2762,5569,1765,1451,523
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,1999-2000,2648,2541,4880,1521,1252,379
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2001-2002,2901,2782,5411,1713,1465,391
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2003-2004,2697,2605,5041,1585,1395,447
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2005-2006,2638,2548,4979,1543,1389,450
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2013-2014,2777,2685,5769,1863,1638,618
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2015-2016,3205,2975,5719,1751,1509,560
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMHP,URXMHP,2017-2018,2986,2762,5569,1765,1451,523
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2001-2002,2901,2782,5411,1713,1465,391
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2003-2004,2697,2605,5041,1585,1395,447
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2005-2006,2638,2548,4979,1543,1389,450
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2013-2014,2777,2685,5769,1863,1638,618
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2015-2016,3205,2975,5719,1751,1509,560
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMIB,URXMIB,2017-2018,2986,2762,5569,1765,1451,523
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2001-2002,2901,2782,5411,1713,1465,391
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2003-2004,2697,2605,5041,1585,1395,447
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2005-2006,2638,2548,4979,1543,1389,450
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2013-2014,2777,2685,5769,1863,1638,618
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2015-2016,3205,2975,5719,1751,1509,560
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMOH,URXMOH,2017-2018,2986,2762,5569,1765,1451,523
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,1999-2000,2648,2541,4880,1521,1252,379
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2001-2002,2901,2782,5411,1713,1465,391
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2003-2004,2697,2605,5041,1585,1395,447
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2005-2006,2638,2548,4979,1543,1389,450
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2013-2014,2777,2685,5769,1863,1638,618
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2015-2016,3205,2975,5719,1751,1509,560
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXMZP,URXMZP,2017-2018,2986,2762,5569,1765,1451,523
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP02,URXP02,2001-2002,2901,2748,5411,1713,1448,387
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP02,URXP02,2003-2004,2697,2575,5041,1585,1380,442
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP02,URXP02,2005-2006,2638,2446,4979,1543,1333,433
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP02,URXP02,2007-2008,2718,2531,5935,1900,1597,569
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP02,URXP02,2009-2010,2819,2747,6218,1967,1710,591
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP02,URXP02,2011-2012,2594,2492,5560,1775,1524,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP02,URXP02,2013-2014,2755,2641,5769,1858,1650,588
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP02,URXP02,2015-2016,3279,2986,5719,1861,1548,521
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2001-2002,2901,2745,5411,1713,1447,387
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2003-2004,2697,2521,5041,1585,1345,430
