cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160L,1999-2000_MCQ.XPT,9493,9493,4880,4868,153,4715
2001-2002,MCQ,MCQ160L,2001-2002_MCQ.XPT,10470,10470,5411,5399,158,5241
2003-2004,MCQ,MCQ160L,2003-2004_MCQ.XPT,9645,9645,5041,5031,170,4861
2005-2006,MCQ,MCQ160L,2005-2006_MCQ.XPT,9822,9822,4979,4968,163,4805
2007-2008,MCQ,MCQ160L,2007-2008_MCQ.XPT,9666,9666,5935,5926,226,5700
2009-2010,MCQ,MCQ160L,2009-2010_MCQ.XPT,10109,10109,6218,6201,189,6012
2011-2012,MCQ,MCQ160L,2011-2012_MCQ.XPT,9364,9364,5560,5553,219,5334
2013-2014,MCQ,MCQ160L,2013-2014_MCQ.XPT,9770,9770,5769,5759,234,5525
2015-2016,MCQ,MCQ160L,2015-2016_MCQ.XPT,9575,9575,5719,5707,259,5448
2017-2018,MCQ,MCQ160L,2017-2018_MCQ.XPT,8897,8897,5569,5554,294,5260
