gene_symbol,CTD,ToxCast,ChEMBL,exposure_support_count,CTD_direction,CTD_action,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_assay_count,ChEMBL_record_count,GeneCards,DisGeNET,OpenTargets,disease_support_count,GeneCards_score,DisGeNET_score,OpenTargets_score,total_support_count,OpenTargets_right_ascending,OpenTargets_right_ascending_score,OpenTargets_left_sigmoid_strict,OpenTargets_left_sigmoid_strict_score,OpenTargets_left_rectosigmoid_sensitivity,OpenTargets_left_rectosigmoid_sensitivity_score,left_expanded_support,anatomic_pattern
ABCC4,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^expression;decreases^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,4.9,,0.09975404590720839,3,0,,0,,0,,0,neither
ADAMTS1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,1,1,1,0,1,0,0,0,0,1,1,,,0.055856668597497126,2,0,,0,,0,,0,neither
AHSG,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.0487603582840481,2,0,,0,,0,,0,neither
AKR1C1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.09116565514266925,2,0,,0,,0,,0,neither
AKR1C3,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.04592312525950439,2,0,,0,,0,,0,neither
ATF4,1,0,0,1,increases,increases^expression;increases^reaction,5,1,1,1,0,0,0,1,0,1,2,3.6,,0.09664821571226512,3,0,,0,,0,,0,neither
ATG5,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,7.9,,0.09473157400059815,3,0,,0,,0,,0,neither
BECN1,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,11.9,,0.1152964865093506,3,0,,0,,0,,0,neither
C4BPA,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04674619348206892,2,0,,0,,0,,0,neither
CA9,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,8.7,,0.1279618791940646,3,0,,0,,0,,0,neither
CADM3,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.03530614326648163,2,0,,0,,0,,0,neither
CASP14,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.014382816011479645,2,0,,0,,0,,0,neither
CCL20,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,9.5,,0.11774568876429753,3,0,,0,,0,,0,neither
CGA,1,0,0,1,affects;decreases;increases,affects^cotreatment;affects^expression;affects^reaction;decreases^expression;decreases^reaction;increases^abundance;increases^expression,40,1,2,0,1,0,0,0,0,1,1,,,0.06529705498061417,2,0,,0,,0,,0,neither
CPS1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.06823957019963267,2,0,,0,,0,,0,neither
CRP,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,23.6,,0.12079916991625102,3,0,,1,0.0073915970936940375,0,,1,left_only
