ChemicalID,ChemicalName,display_name,chemical_class,screen_rank,odds_ratio,bh_fdr,minus_log10_bh_fdr,crc_overlap,n_ctd_human_genes,stable_for_primary_sort,degree_matched_empirical_p,degree_matched_bh_fdr
C027561,butylbenzyl phthalate,butylbenzyl phthalate,phthalates,1,5.9498851373525605,4.423392441701079e-10,9.354244528479244,28,214,True,0.0009990009990009,0.0121242393969666
C103325,mono-benzyl phthalate,MBzP,phthalates,2,10.182654704393835,8.992397867382715e-10,9.046124486051458,18,87,True,0.0009990009990009,0.0121242393969666
C028007,nickel monoxide,nickel monoxide,heavy_metals,3,12.49420987907358,1.1907844678021702e-06,5.9241668387816135,11,45,True,0.0009990009990009,0.0121242393969666
D003300,Copper,Copper,heavy_metals,4,1.7047886812987485,1.1575374364339752e-05,4.936464954371535,138,3542,True,0.0009990009990009,0.0121242393969666
C028577,monobutyl phthalate,monobutyl phthalate,phthalates,5,7.083866837387964,1.1617801554235037e-05,4.934876046058855,13,84,True,0.0009990009990009,0.0121242393969666
D012834,Silver,Silver,heavy_metals,6,2.316004740138818,2.9990776516488967e-05,4.523012289410183,48,873,True,0.0059940059940059,0.0516257935612774
C016599,mono-(2-ethylhexyl)phthalate,mono-(2-ethylhexyl)phthalate,phthalates,7,2.107134592860779,5.676652460130243e-05,4.2459076936322395,56,1118,True,0.0039960039960039,0.0355644355644355
C000611729,"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-propanoate","ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-propanoate",pfas_perfluoro,8,4.175554911748975,9.705421139708032e-05,4.012985614867781,17,175,True,0.0009990009990009,0.0121242393969666
C074702,chromium hexavalent ion,chromium hexavalent ion,heavy_metals,9,1.8570400359874044,0.0001390450775217,3.8568443814348727,72,1632,True,0.0089910089910089,0.0727454363818
D015127,"9,10-Dimethyl-1,2-benzanthracene","9,10-Dimethyl-1,2-benzanthracene",pahs,10,6.237523058003689,0.0001444821339979,3.8401858524633763,11,79,True,0.0009990009990009,0.0121242393969666
C581825,monoethyl phthalate,monoethyl phthalate,phthalates,11,7.36502659574468,0.0002858400730271,3.543876885851018,9,56,True,0.0009990009990009,0.0121242393969666
D015032,Zinc,Zinc,heavy_metals,12,1.7677484397391825,0.0003653683115145,3.437269121819748,74,1755,True,0.0659340659340659,0.3321584076301058
D055549,Volatile Organic Compounds,Volatile Organic Compounds,vocs,13,1.685276836983805,0.0010119325816518,2.9948484206898236,77,1909,True,0.0039960039960039,0.0355644355644355
C017461,lead nitrate,lead nitrate,heavy_metals,14,5.863877118644068,0.001111818561232,2.9539660799166825,9,68,True,0.0039960039960039,0.0355644355644355
C517284,monomethyl phthalate,monomethyl phthalate,phthalates,15,25.46758462421113,0.0013323351592983,2.8753865112586827,4,10,False,0.0009990009990009,0.0121242393969666
C569492,cobalt ferrite,cobalt ferrite,heavy_metals,16,25.46758462421113,0.0013323351592983,2.8753865112586827,4,10,False,0.0019980019980019,0.0213386613386613
C479069,mono(2-ethyl-5-hydroxyhexyl) phthalate,mono(2-ethyl-5-hydroxyhexyl) phthalate,phthalates,17,7.669896193771626,0.001377023527373,2.8610586394664037,7,42,True,0.0009990009990009,0.0121242393969666
C043055,gallium arsenide,gallium arsenide,heavy_metals,18,6.268029568846603,0.0014568347272344,2.836589714613937,8,57,True,0.0009990009990009,0.0121242393969666
C494622,CPS 49,CPS 49,phthalates,19,21.82837472338333,0.0017273010490496,2.762631963216116,4,11,False,0.0009990009990009,0.0121242393969666
C020809,tetrathiomolybdate,tetrathiomolybdate,heavy_metals,20,4.193259047159072,0.0019589893324046,2.7079679289314664,11,112,True,0.0299700299700299,0.1905237619523334
C028031,cadmium acetate,cadmium acetate,heavy_metals,21,4.939955357142857,0.0024118911712362,2.6176422922192355,9,79,True,0.0179820179820179,0.1231076615692
