cluster_id,theme_label,family_id,family_label,source,term_id,term_name,global_fdr,term_size,effective_domain_size,intersection_size,term_theme_id,term_theme_label,parents,intersection_genes
theme_01,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0006954,inflammatory response,0.000246249980700841,70,868,11,inflammation_defense,Inflammation / defense / stimulus response,{'GO:0006952'},CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1
theme_02,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0006952,defense response,0.0006036566795846424,103,868,12,inflammation_defense,Inflammation / defense / stimulus response,{'GO:0006950'},BECN1;CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,family_03,Chemical / oxygen / abiotic stress response,GO:BP,GO:0070887,cellular response to chemical stimulus,0.0007479911063191124,201,868,15,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,"{'GO:0051716', 'GO:0042221'}",BECN1;CXCR4;CYP1A2;CYP3A4;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,family_03,Chemical / oxygen / abiotic stress response,GO:BP,GO:0042221,response to chemical,0.0012686458499641202,255,868,16,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,{'GO:0050896'},BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_04,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0042127,regulation of cell population proliferation,0.001982446792593204,191,868,14,development_reproduction,Development / reproduction / circulation,"{'GO:0050794', 'GO:0008283'}",BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_05,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0006631,fatty acid metabolic process,0.001982446792593204,29,868,7,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0032787', 'GO:0006629'}",CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1
theme_03,Chemical / oxygen / abiotic stress response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0050896,response to stimulus,0.001982446792593204,386,868,18,inflammation_defense,Inflammation / defense / stimulus response,{'GO:0008150'},BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_01,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0050727,regulation of inflammatory response,0.001982446792593204,43,868,8,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0031347', 'GO:0006954', 'GO:0032101'}",ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
theme_05,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0032787,monocarboxylic acid metabolic process,0.0021307781762883063,44,868,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0019752'},CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_06,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0006629,lipid metabolic process,0.0029677134277770645,64,868,9,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0044238'},BECN1;CYP1A2;CYP3A4;ESR1;PPARD;PPARG;PTGS1;PTGS2;SIRT1
