family_id,theme_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,intersection_genes
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006631,GO:BP,fatty acid metabolic process,0.001982446792593204,7,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0032787,GO:BP,monocarboxylic acid metabolic process,0.0021307781762883063,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006629,GO:BP,lipid metabolic process,0.0029677134277770645,9,BECN1;CYP1A2;CYP3A4;ESR1;PPARD;PPARG;PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006082,GO:BP,organic acid metabolic process,0.005849796511218857,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006633,GO:BP,fatty acid biosynthetic process,0.005849796511218857,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0008610,GO:BP,lipid biosynthetic process,0.005849796511218857,7,BECN1;CYP1A2;CYP3A4;PPARD;PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0019752,GO:BP,carboxylic acid metabolic process,0.005849796511218857,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0043436,GO:BP,oxoacid metabolic process,0.005849796511218857,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-8978868,REAC,Fatty acid metabolism,0.008072712826864078,4,CYP1A2;PPARD;PTGS1;PTGS2
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0072330,GO:BP,monocarboxylic acid biosynthetic process,0.009427534111278836,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-556833,REAC,Metabolism of lipids,0.009427534111278836,6,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0016053,GO:BP,organic acid biosynthetic process,0.018025021529489507,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
