cluster_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,term_theme_id,term_theme_label,intersection_genes
theme_08,Development / reproduction / circulation,GO:0007275,GO:BP,multicellular organism development,0.025618847845572085,14,development_reproduction,Development / reproduction / circulation,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_08,Development / reproduction / circulation,GO:0048856,GO:BP,anatomical structure development,0.046117314599727836,14,development_reproduction,Development / reproduction / circulation,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_09,Development / reproduction / circulation,GO:0007566,GO:BP,embryo implantation,0.004696542460027737,5,development_reproduction,Development / reproduction / circulation,MMP2;MMP9;PPARD;PTGS2;TIMP1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,GO:0006633,GO:BP,fatty acid biosynthetic process,0.005849796511218857,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,GO:0072330,GO:BP,monocarboxylic acid biosynthetic process,0.009427534111278836,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,GO:0016053,GO:BP,organic acid biosynthetic process,0.018025021529489507,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,GO:0046394,GO:BP,carboxylic acid biosynthetic process,0.018025021529489507,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
theme_11,Development / reproduction / circulation,GO:0007565,GO:BP,female pregnancy,0.0059639120599296585,6,development_reproduction,Development / reproduction / circulation,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
theme_11,Development / reproduction / circulation,GO:0044703,GO:BP,multi-organism reproductive process,0.006443937153578333,6,development_reproduction,Development / reproduction / circulation,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
theme_11,Development / reproduction / circulation,GO:0044706,GO:BP,multi-multicellular organism process,0.006443937153578333,6,development_reproduction,Development / reproduction / circulation,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
theme_12,Signaling / receptor / hormone response,GO:0030522,GO:BP,intracellular receptor signaling pathway,0.006443937153578333,7,signaling_receptor,Signaling / receptor / hormone response,BECN1;ESR1;PPARD;PPARG;RELA;SIRT1;STAT3
