gene_symbol,significant_term_count,fraction_of_106_terms,redundancy_cluster_count,fraction_of_redundancy_clusters,theme_family_count,fraction_of_theme_families,GO_BP_term_count,KEGG_term_count,Reactome_term_count,theme_family_contributions,theme_family_membership,redundancy_cluster_membership,gene_cards_rank,gene_cards_relevance_score
PTGS2,87,0.8207547169811321,32,0.7619047619047619,9,0.9,82,0,5,family_01=26;family_08=18;family_02=17;family_03=8;family_04=7;family_06=6;family_09=3;family_07=1;family_10=1,family_01;family_02;family_03;family_04;family_06;family_07;family_08;family_09;family_10,theme_01;theme_02;theme_03;theme_04;theme_05;theme_06;theme_07;theme_08;theme_09;theme_10;theme_11;theme_13;theme_14;theme_15;theme_18;theme_19;theme_20;theme_21;theme_22;theme_24;theme_26;theme_29;theme_30;theme_31;theme_32;theme_34;theme_35;theme_36;theme_37;theme_39;theme_40;theme_42,44,39.9
PPARD,85,0.8018867924528302,33,0.7857142857142857,10,1.0,81,0,4,family_08=18;family_02=17;family_01=15;family_03=8;family_04=7;family_06=7;family_05=6;family_09=5;family_07=1;family_10=1,family_01;family_02;family_03;family_04;family_05;family_06;family_07;family_08;family_09;family_10,theme_01;theme_02;theme_03;theme_04;theme_05;theme_06;theme_07;theme_08;theme_09;theme_11;theme_12;theme_13;theme_14;theme_15;theme_16;theme_17;theme_18;theme_19;theme_20;theme_21;theme_25;theme_26;theme_27;theme_28;theme_31;theme_32;theme_33;theme_34;theme_36;theme_38;theme_39;theme_40;theme_41,503,15.8
PPARG,77,0.7264150943396226,30,0.7142857142857143,10,1.0,74,0,3,family_02=17;family_08=14;family_01=11;family_03=9;family_06=9;family_05=6;family_04=5;family_09=4;family_07=1;family_10=1,family_01;family_02;family_03;family_04;family_05;family_06;family_07;family_08;family_09;family_10,theme_01;theme_02;theme_03;theme_04;theme_05;theme_06;theme_07;theme_08;theme_12;theme_13;theme_14;theme_15;theme_17;theme_18;theme_20;theme_21;theme_25;theme_26;theme_27;theme_28;theme_30;theme_31;theme_32;theme_34;theme_35;theme_36;theme_37;theme_39;theme_40;theme_41,50,36.7
SIRT1,74,0.6981132075471698,27,0.6428571428571429,9,0.9,73,0,1,family_01=24;family_08=12;family_03=9;family_06=8;family_02=7;family_04=7;family_09=5;family_07=1;family_10=1,family_01;family_02;family_03;family_04;family_06;family_07;family_08;family_09;family_10,theme_03;theme_04;theme_05;theme_06;theme_08;theme_10;theme_12;theme_13;theme_14;theme_15;theme_16;theme_21;theme_22;theme_25;theme_26;theme_27;theme_28;theme_29;theme_30;theme_31;theme_32;theme_33;theme_35;theme_36;theme_37;theme_39;theme_40,654,14.7
ESR1,61,0.5754716981132075,22,0.5238095238095238,9,0.9,59,0,2,family_02=16;family_08=15;family_06=8;family_04=7;family_05=6;family_01=3;family_03=3;family_09=2;family_10=1,family_01;family_02;family_03;family_04;family_05;family_06;family_08;family_09;family_10,theme_01;theme_02;theme_03;theme_04;theme_06;theme_07;theme_08;theme_11;theme_12;theme_13;theme_14;theme_15;theme_17;theme_21;theme_27;theme_28;theme_30;theme_32;theme_33;theme_34;theme_36;theme_41,642,15.1
RELA,58,0.5471698113207547,21,0.5,9,0.9,57,0,1,family_02=17;family_08=12;family_06=8;family_04=7;family_05=6;family_03=4;family_09=2;family_01=1;family_10=1,family_01;family_02;family_03;family_04;family_05;family_06;family_08;family_09;family_10,theme_01;theme_02;theme_03;theme_04;theme_07;theme_08;theme_12;theme_14;theme_15;theme_16;theme_17;theme_21;theme_27;theme_28;theme_30;theme_31;theme_32;theme_34;theme_35;theme_36;theme_37,693,13.4
MMP9,56,0.5283018867924528,21,0.5,9,0.9,54,0,2,family_02=17;family_08=16;family_04=7;family_06=6;family_03=4;family_07=2;family_09=2;family_01=1;family_10=1,family_01;family_02;family_03;family_04;family_06;family_07;family_08;family_09;family_10,theme_01;theme_02;theme_03;theme_04;theme_07;theme_08;theme_09;theme_11;theme_14;theme_15;theme_16;theme_21;theme_23;theme_28;theme_30;theme_31;theme_32;theme_34;theme_36;theme_37;theme_39,126,23.7
BECN1,53,0.5,19,0.4523809523809524,8,0.8,52,0,1,family_02=15;family_08=11;family_03=9;family_04=7;family_06=6;family_01=2;family_09=2;family_10=1,family_01;family_02;family_03;family_04;family_06;family_08;family_09;family_10,theme_02;theme_03;theme_04;theme_06;theme_07;theme_08;theme_12;theme_14;theme_15;theme_16;theme_21;theme_26;theme_28;theme_31;theme_32;theme_34;theme_35;theme_36;theme_37,734,11.9
MMP2,50,0.4716981132075472,21,0.5,9,0.9,48,0,2,family_08=18;family_03=8;family_02=7;family_04=5;family_06=5;family_09=3;family_07=2;family_01=1;family_10=1,family_01;family_02;family_03;family_04;family_06;family_07;family_08;family_09;family_10,theme_03;theme_04;theme_07;theme_08;theme_09;theme_11;theme_13;theme_14;theme_15;theme_16;theme_20;theme_21;theme_23;theme_26;theme_28;theme_31;theme_32;theme_35;theme_36;theme_37;theme_39,153,22.1
STAT3,47,0.44339622641509435,17,0.40476190476190477,9,0.9,46,0,1,family_02=12;family_08=12;family_06=6;family_01=5;family_05=4;family_03=3;family_09=3;family_07=1;family_10=1,family_01;family_02;family_03;family_05;family_06;family_07;family_08;family_09;family_10,theme_01;theme_02;theme_03;theme_04;theme_05;theme_07;theme_08;theme_12;theme_14;theme_15;theme_16;theme_17;theme_21;theme_28;theme_30;theme_36;theme_39,70,30.7
