family_id,theme_id,theme_label,gene_symbol,family_term_count,fraction_of_family_terms,family_top_driver,global_significant_term_count,theme_family_count,overall_driver_rank
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS2,26,0.8387096774193549,True,87,9,1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,SIRT1,24,0.7741935483870968,False,74,9,4
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1,23,0.7419354838709677,False,38,6,13
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2,21,0.6774193548387096,False,37,6,14
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP3A4,18,0.5806451612903226,False,28,6,16
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARD,15,0.4838709677419355,False,85,10,2
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARG,11,0.3548387096774194,False,77,10,3
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,STAT3,5,0.16129032258064516,False,47,9,10
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,ESR1,3,0.0967741935483871,False,61,9,5
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CRP,3,0.0967741935483871,False,25,5,17
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,BECN1,2,0.06451612903225806,False,53,8,8
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,RELA,1,0.03225806451612903,False,58,9,6
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,MMP9,1,0.03225806451612903,False,56,9,7
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,MMP2,1,0.03225806451612903,False,50,9,9
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,DKK1,1,0.03225806451612903,False,32,8,15
family_02,inflammation_defense,Inflammation / defense / stimulus response,PTGS2,17,1.0,True,87,9,1
family_02,inflammation_defense,Inflammation / defense / stimulus response,PPARD,17,1.0,True,85,10,2
family_02,inflammation_defense,Inflammation / defense / stimulus response,PPARG,17,1.0,True,77,10,3
