dataset_version_id,role,cell_type_original,cell_class,gene_symbol,available_in_dataset,expression_transform,n_cells,n_male_cells,n_female_cells,n_male_donors,n_female_donors,male_mean_expression,female_mean_expression,female_minus_male_beta,se,raw_p,test_status,male_detection_fraction,female_detection_fraction,FDR,fdr_family,fdr_denominator,logFC_or_effect,direction,analysis_method
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,JUN,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.6464297484898194,nan,nan,1.0,insufficient_donors,nan,0.15795328142380421,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,TP53,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.016668862677793907,nan,nan,1.0,insufficient_donors,nan,0.011123470522803115,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AHR,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.026945911664557405,nan,nan,1.0,insufficient_donors,nan,0.017797552836484983,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,CYP19A1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,NFE2L2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.14267488327335726,nan,nan,1.0,insufficient_donors,nan,0.09454949944382647,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,NFKB1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.1461301103267627,nan,nan,1.0,insufficient_donors,nan,0.09454949944382647,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ESR1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0012610173332077812,nan,nan,1.0,insufficient_donors,nan,0.0011123470522803114,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ESR2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.00656785420923425,nan,nan,1.0,insufficient_donors,nan,0.004449388209121246,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AR,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.005183924364563603,nan,nan,1.0,insufficient_donors,nan,0.0033370411568409346,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,THRB,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0036396512249172136,nan,nan,1.0,insufficient_donors,nan,0.002224694104560623,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,CASP3,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.01932185574932653,nan,nan,1.0,insufficient_donors,nan,0.014460511679644048,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,A2M,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.3549299782554576,nan,nan,1.0,insufficient_donors,nan,0.021134593993325918,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ABCB1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0037484179673845605,nan,nan,1.0,insufficient_donors,nan,0.002224694104560623,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ABCB6,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ABCC1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.008955083704101426,nan,nan,1.0,insufficient_donors,nan,0.0055617352614015575,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ABL1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.005855020260650839,nan,nan,1.0,insufficient_donors,nan,0.004449388209121246,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ACHE,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.005229635393326181,nan,nan,1.0,insufficient_donors,nan,0.0033370411568409346,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ACKR5,False,,,,,0,0,,,,,,gene_unavailable,,,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ACP1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.09759407382150091,nan,nan,1.0,insufficient_donors,nan,0.06451612903225806,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ACP2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0015982325445085563,nan,nan,1.0,insufficient_donors,nan,0.0011123470522803114,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ACTA1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ACTB,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,1.158181162008503,nan,nan,1.0,insufficient_donors,nan,0.25695216907675195,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ACTR1B,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.009029610845066557,nan,nan,1.0,insufficient_donors,nan,0.0055617352614015575,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ADA,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.01850657481741852,nan,nan,1.0,insufficient_donors,nan,0.014460511679644048,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
