dataset_version_id,role,cell_type_original,cell_class,branch_class,module_id,module_size,module_genes_total,module_genes_found,module_gene_coverage,module_genes_found_list,n_male_donors,n_female_donors,male_mean_activity,female_mean_activity,female_minus_male_activity,se,raw_p,test_status,activity_definition,FDR,fdr_family,fdr_denominator,direction
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M011,1,1,1,1.0,ADA,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M012,1,1,1,1.0,ADRA2C,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M013,1,1,1,1.0,ATG4B,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M014,1,1,1,1.0,ATXN2,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M015,1,1,1,1.0,BAZ2B,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M016,1,1,1,1.0,CAT,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M017,1,1,1,1.0,FETUB,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M018,1,1,1,1.0,GABRP,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M019,1,1,1,1.0,GPR183,0,2,nan,-1.6653345369377348e-16,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M020,1,1,1,1.0,HBB,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M021,1,1,1,1.0,KCNJ16,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M022,1,1,1,1.0,KCNQ1,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M023,1,1,1,1.0,KLK7,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M024,1,1,1,1.0,KRT10,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M025,1,1,1,1.0,LASP1,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M026,1,1,1,1.0,NKD1,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M027,1,1,1,1.0,PLA1A,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M028,1,1,1,1.0,PTX3,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M029,1,1,1,1.0,RAPGEF3,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M030,1,1,1,1.0,SCGB3A2,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M031,1,1,1,1.0,SIAE,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M032,1,1,1,1.0,SLC45A3,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M033,1,1,1,1.0,SLPI,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
