chemical_id,canonical_name,synonym,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,source,parent_metabolite_status,eligible_as_environmental_exposure,exclusion_reason,classification_rule_prefixes,drug_like_exclusion,drugcentral_match
C000599298,"10,10'-dimethyl-9,9'-biacridinium bis(monomethyl terephthalate)",,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C000619707,"10-(4-hydroxylphenyl)-5,15-bis (pentafluorophenyl)corrole","10-(4-hydroxylphenyl)-5,15-bis(pentafluorophenyl)corrole",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.455.526.510.435,False,False
C506025,10-(perfluorohexyl)decanol,10-(perfluorohexyl)-decanol,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C091999,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-9-octadecene","(E)-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorooctadec-9-ene|F8H8E hydrocarbon",113999-61-4,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C086465,"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-7-octadecene",F6H10E,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C092003,"1,1,1,2,2,3,3,4,4,5,5,6,6---tridecafluoro-8-iodo-7-tetradecene","1H,1H,2H,2H-perfluorooct-1-ene|1H,1H,2H-perfluoro-1-octene|1H,1H,2H-perfluorooct-1-ene|3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-octene|F6H6IE hydrocarbon|(perfluorohexyl)ethylene",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C092000,"1,1,1,2,2,3,3,4,4,5,5,6,6--tridecafluorohexadecane","1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorohexadecane|1-(perfluorohexyl)decane|1-(perfluoro-n-hexyl)decane|F6H10 hydrocarbon",147492-59-9,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C533806,"1,1,1,2,2-pentafluoro-7-phenylheptan-3-one",FKGK11,,CID:24995215,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C044230,"1,1,1,2,2-pentafluorohexane",,94099-50-0,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C075510,"1,1,1,2,3,3,4,4,5,5,6,6,7,8,8,8-hexadecafluoro-2,7-bis(trifluoromethyl)octane",perfluoroalcane-C8,3021-63-4,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
