endpoint_id,outcome_name,dropped_cycle,status,reason,n_successful_refits,interaction_beta,interaction_se,interaction_p,analytic_n,cases,male_cases,female_cases,same_direction_as_pooled
any_arthritis,Any arthritis,2003-2004,ok,,8,0.17991984907348033,0.0536892115953761,0.0011066868205849131,11272,3022,1290,1732,True
any_arthritis,Any arthritis,2005-2006,ok,,8,0.20368619869728247,0.05254739481516956,0.00018162708387637063,11264,3074,1292,1782,True
any_arthritis,Any arthritis,2007-2008,ok,,8,0.18793604140690032,0.05158141119187494,0.00041507269392625397,11027,2906,1232,1674,True
any_arthritis,Any arthritis,2009-2010,ok,,8,0.2137209595752489,0.05357395351891087,0.00012095337997172191,10894,2933,1228,1705,True
any_arthritis,Any arthritis,2011-2012,ok,,8,0.19085133087480727,0.05355730699414978,0.0005481334119752306,11171,3023,1292,1731,True
any_arthritis,Any arthritis,2013-2014,ok,,8,0.21030916219070092,0.05198099892775289,9.764229198675175e-05,11041,3002,1291,1711,True
any_arthritis,Any arthritis,2015-2016,ok,,8,0.20550820977324336,0.05361931065662,0.0002123691807894842,11121,3022,1278,1744,True
any_arthritis,Any arthritis,2017-2018,ok,,8,0.12691939167196845,0.05196348052413946,0.016194060528382674,11243,2972,1254,1718,True
gout,Gout,2007-2008,ok,,6,0.30557107905871683,0.14223875646481704,0.03479335776759708,8135,405,277,128,True
gout,Gout,2009-2010,ok,,6,0.33317530880704177,0.14222995735388896,0.021705368093490315,8003,407,285,122,True
gout,Gout,2011-2012,ok,,6,0.3574192289891783,0.15716820071458218,0.025744020932690802,8277,429,314,115,True
gout,Gout,2013-2014,ok,,6,0.2911779013826725,0.14268916470005355,0.04462655527643017,8147,418,294,124,True
gout,Gout,2015-2016,ok,,6,0.35390888059513853,0.1529173903281771,0.0232455469108021,8231,421,307,114,True
gout,Gout,2017-2018,ok,,6,0.22454318123946249,0.14207825219225176,0.11800672049911781,8352,375,273,102,True
osteoarthritis,Osteoarthritis (OA),2003-2004,ok,,8,0.13650222866619374,0.0780410764761679,0.0830872978029633,9423,1173,450,723,True
osteoarthritis,Osteoarthritis (OA),2005-2006,ok,,8,0.1814926996496489,0.07484006751040269,0.01694830687036342,9400,1210,449,761,True
osteoarthritis,Osteoarthritis (OA),2007-2008,ok,,8,0.15085690617113293,0.07811452709620861,0.05607604272448425,9270,1149,432,717,True
osteoarthritis,Osteoarthritis (OA),2009-2010,ok,,8,0.21352315551815598,0.08035455269048894,0.009073072043117848,9115,1154,423,731,True
osteoarthritis,Osteoarthritis (OA),2011-2012,ok,,8,0.16402640160794382,0.08125638327368746,0.04602724211226206,9279,1131,434,697,True
osteoarthritis,Osteoarthritis (OA),2013-2014,ok,,8,0.20479634668020127,0.08466602851061442,0.017224594075249587,9144,1105,419,686,True
osteoarthritis,Osteoarthritis (OA),2015-2016,ok,,8,0.21502525534611389,0.08548565580909327,0.013350255615097577,9231,1132,436,696,True
osteoarthritis,Osteoarthritis (OA),2017-2018,ok,,8,0.14019742982687305,0.0769173929297111,0.07108980480433026,9380,1109,415,694,True
other_arthritis,Other arthritis,2003-2004,ok,,8,0.08635117710330419,0.1604315644647126,0.5915066647196077,8598,348,147,201,True
other_arthritis,Other arthritis,2005-2006,ok,,8,0.1731656760466923,0.15055772642025134,0.25259458852863065,8541,351,153,198,True
other_arthritis,Other arthritis,2007-2008,ok,,8,0.13510724218497802,0.16018933362445506,0.400856526879655,8447,326,143,183,True
other_arthritis,Other arthritis,2009-2010,ok,,8,0.09010553503049029,0.1612070368215227,0.5773578200086784,8290,329,147,182,True
other_arthritis,Other arthritis,2011-2012,ok,,8,0.10977564166381935,0.1450839501497508,0.45093115609401646,8517,369,162,207,True
other_arthritis,Other arthritis,2013-2014,ok,,8,0.09436080781821321,0.1588503967083642,0.5537275078863506,8388,349,158,191,True
other_arthritis,Other arthritis,2015-2016,ok,,8,0.1600255335115782,0.1525235031022537,0.29641323329178537,8457,358,161,197,True
other_arthritis,Other arthritis,2017-2018,ok,,8,-0.09240575037420026,0.13939167863542573,0.5087802381401827,8606,335,147,188,False
psoriatic_arthritis,Psoriatic arthritis (PsA),,not_performed,LOCO not performed because of inadequate subtype case counts,0,,,,5989,22,15,7,
rheumatoid_arthritis,Rheumatoid arthritis (RA),2003-2004,ok,,8,0.2226580826115576,0.11913084376894766,0.0643042859558987,8813,563,251,312,True
rheumatoid_arthritis,Rheumatoid arthritis (RA),2005-2006,ok,,8,0.18875219704598395,0.10871885034534083,0.08536296841824018,8775,585,255,330,True
rheumatoid_arthritis,Rheumatoid arthritis (RA),2007-2008,ok,,8,0.17693561923863246,0.11184945248122223,0.11659463747672763,8669,548,246,302,True
rheumatoid_arthritis,Rheumatoid arthritis (RA),2009-2010,ok,,8,0.18718545110940452,0.10652862886374496,0.08172822158782687,8519,558,248,310,True
rheumatoid_arthritis,Rheumatoid arthritis (RA),2011-2012,ok,,8,0.18405315473377148,0.11227354053017781,0.10408197604656683,8723,575,256,319,True
rheumatoid_arthritis,Rheumatoid arthritis (RA),2013-2014,ok,,8,0.15276992020316021,0.11029539877883225,0.168850786812088,8629,590,259,331,True
rheumatoid_arthritis,Rheumatoid arthritis (RA),2015-2016,ok,,8,0.1644703280313439,0.11366425073871596,0.1507712679131332,8680,581,246,335,True
rheumatoid_arthritis,Rheumatoid arthritis (RA),2017-2018,ok,,8,0.11777125299200956,0.11226063265902807,0.2964582749646668,8842,571,248,323,True
