external_priority_rank,model_id,model_number,selector_name,classifier_name,requested_features,selective_selector,full_train_selected_feature_count,full_train_selected_features,internal_cv_folds,internal_roc_auc_mean,internal_roc_auc_sd,internal_pr_auc_mean,internal_pr_auc_sd,internal_balanced_accuracy_mean,internal_balanced_accuracy_sd,internal_f1_mean,internal_f1_sd,internal_sensitivity_mean,internal_sensitivity_sd,internal_specificity_mean,internal_specificity_sd,GSE10950_roc_auc,GSE10950_pr_auc,GSE10950_balanced_accuracy,GSE10950_f1,GSE10950_sensitivity,GSE10950_specificity,GSE74602_roc_auc,GSE74602_pr_auc,GSE74602_balanced_accuracy,GSE74602_f1,GSE74602_sensitivity,GSE74602_specificity,external_mean_roc_auc,external_mean_pr_auc,external_mean_balanced_accuracy,external_auc_ge_0_75_both_datasets,external_validation_qualified
1,M037_f_classif_top60__logistic_l2,37,f_classif_top60,logistic_l2,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;BMP2;CAT;CCR7;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IL18;IL1A;IL1B;IL5;INHBA;LDLR;LEPR;MKI67;MMP9;MUC2;NLRP3;NOS3;NR3C1;PGR;PPARA;PPARD;PPARG;RBFOX1;RXRA;RYR1;SLC2A1;SORBS1;TIMP1;TIMP2;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.8914930555555557,0.8665779286860943,0.7916666666666667,0.75,0.625,0.9583333333333334,1.0,1.0,0.9666666666666667,0.9655172413793104,0.9333333333333333,1.0,0.9457465277777779,0.9332889643430471,0.8791666666666667,True,True
2,M001_all_features__logistic_l2,1,all_features,logistic_l2,all,False,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.8723958333333333,0.8500265164545351,0.8125,0.7804878048780488,0.6666666666666666,0.9583333333333334,1.0,1.0,0.8166666666666667,0.7755102040816326,0.6333333333333333,1.0,0.9361979166666666,0.9250132582272675,0.8145833333333333,True,False
3,M055_f_classif_top95__logistic_l2,55,f_classif_top95,logistic_l2,95,True,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.8723958333333333,0.8500265164545351,0.8125,0.7804878048780488,0.6666666666666666,0.9583333333333334,1.0,1.0,0.8166666666666667,0.7755102040816326,0.6333333333333333,1.0,0.9361979166666666,0.9250132582272675,0.8145833333333333,True,True
4,M100_all_features__lda_shrinkage,100,all_features,lda_shrinkage,all,False,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.875,0.85625,0.875,0.8636363636363636,0.7916666666666666,0.9583333333333334,0.9766666666666667,0.9654130071318985,0.95,0.9523809523809523,1.0,0.9,0.9258333333333333,0.9108315035659492,0.9125,True,False
5,M051_f_classif_top80__extra_trees,51,f_classif_top80,extra_trees,80,True,80,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;ATG5;BMP2;BSCL2;CAT;CCR7;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP11B1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL5;IL6;INHBA;LDLR;LEPR;MKI67;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RXRA;RYR1;SIRT3;SLC2A1;SLC2A3;SORBS1;SREBF1;STAT3;TIMP1;TIMP2;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9875,0.02795084971874737,0.9982905982905983,0.0038223384230765506,1.0,0.0,0.975,0.055901699437494734,0.8732638888888888,0.8473377496159754,0.5,0.6666666666666666,1.0,0.0,0.9683333333333333,0.969984639016897,0.5,0.6666666666666666,1.0,0.0,0.920798611111111,0.9086611943164362,0.5,True,True
6,M046_f_classif_top80__logistic_l2,46,f_classif_top80,logistic_l2,80,True,80,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;ATG5;BMP2;BSCL2;CAT;CCR7;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP11B1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL5;IL6;INHBA;LDLR;LEPR;MKI67;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RXRA;RYR1;SIRT3;SLC2A1;SLC2A3;SORBS1;SREBF1;STAT3;TIMP1;TIMP2;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.8107638888888888,0.7893892973856209,0.7708333333333334,0.717948717948718,0.5833333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9053819444444444,0.8946946486928105,0.8854166666666667,True,True
7,M096_mutual_info_top60__extra_trees,96,mutual_info_top60,extra_trees,60,True,60,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;BECN1;BMP2;BSCL2;CAT;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GJB2;GPX1;GRN;GSR;HSPA9;IL18;IL1A;IL33;INHBA;LEPR;MKI67;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;RBFOX1;RELA;RXRA;RYR1;SLC2A1;SLC2A3;SORBS1;STAT6;TIMP1;TIMP2;TP53;TPM1;TXN;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9875,0.02795084971874737,0.9982905982905983,0.0038223384230765506,1.0,0.0,0.975,0.055901699437494734,0.8619791666666666,0.833530255402537,0.5,0.6666666666666666,1.0,0.0,0.9061111111111111,0.8843386243386243,0.5,0.6666666666666666,1.0,0.0,0.8840451388888888,0.8589344398705807,0.5,True,True
8,M006_all_features__extra_trees,6,all_features,extra_trees,all,False,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9875,0.02795084971874737,0.9982905982905983,0.0038223384230765506,1.0,0.0,0.975,0.055901699437494734,0.8055555555555556,0.7490675341552535,0.5,0.6666666666666666,1.0,0.0,0.9622222222222222,0.9558655462184875,0.5,0.6666666666666666,1.0,0.0,0.883888888888889,0.8524665401868705,0.5,True,False
9,M060_f_classif_top95__extra_trees,60,f_classif_top95,extra_trees,95,True,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9875,0.02795084971874737,0.9982905982905983,0.0038223384230765506,1.0,0.0,0.975,0.055901699437494734,0.8055555555555556,0.7490675341552535,0.5,0.6666666666666666,1.0,0.0,0.9622222222222222,0.9558655462184875,0.5,0.6666666666666666,1.0,0.0,0.883888888888889,0.8524665401868705,0.5,True,True
10,M002_all_features__logistic_l1,2,all_features,logistic_l1,all,False,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7916666666666666,0.7058823529411765,0.7916666666666667,0.8275862068965517,1.0,0.5833333333333334,0.9755555555555556,0.9711529810256079,0.5,0.0,0.0,1.0,0.8836111111111111,0.8385176669833923,0.6458333333333334,True,False
