dataset_id,sample_id,group,pair_id,gene_symbol,expression_value,expression_scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IFNG,0.1257,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IL13,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IL18,5.875,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IL1A,-1.884,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IL1B,2.287,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IL33,1.766,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IL4,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IL5,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,IL6,-1.47,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,INHBA,-3.458,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,LDLR,3.91,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,LEPR,-0.1031,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,MIR143,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,MKI67,3.716,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,MMP2,5.687,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,MMP9,4.22,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,MUC2,7.603,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,NFE2L2,5.795,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,NLRP3,0.2154,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,NOS3,0.5666,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,NR1I2,4.288,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,NR3C1,2.676,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,NR4A1,3.2,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,PGR,-3.171,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,PPARA,3.449,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,PPARD,4.501,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,PPARG,6.186,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,RBFOX1,-1.318,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,RELA,5.419,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,RXRA,5.023,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,RYR1,-1.639,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,SIRT1,2.387,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,SIRT3,3.982,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,SLC2A1,6.065,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,SLC2A3,2.614,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,SORBS1,1.907,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,SQSTM1,8.188,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,SREBF1,5.478,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,STAT3,5.935,Toil/Xena RSEM TPM delivered on log2-like scale
