gene_symbol,gene_id,branch_membership,tissue,focus_group,tissue_role,n_male,n_female,beta_female_minus_male,se_female_minus_male,t_statistic,raw_p,fdr_fixed_3960,direction,meaningful_abs_effect_ge_0_25,is_expressed_median_tpm_ge_0_1,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,module_id,module_size
PLA2G5,ENSG00000127472.11,hypertension-branch,Adrenal Gland,adrenal,hypertension/endocrine tissue,184.0,111.0,-0.2249120949625651,0.0588197357077763,-3.823752219492381,0.0001612462105629,0.0096747726337781,male-biased,False,True,False,False,True,1,False,False,False,HYP_M003,59
SYP,ENSG00000102003.12,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,adrenal,hypertension/endocrine tissue,184.0,111.0,0.546066436295803,0.1448306226065295,3.770379678469904,0.0001979072012116,0.0108848960666409,female-biased,True,True,False,False,True,1,False,False,False,HYP_M001,152
CES1,ENSG00000198848.13,hypertension-branch,Adrenal Gland,adrenal,hypertension/endocrine tissue,184.0,111.0,0.496336773565286,0.146151874585358,3.3960342621223587,0.0007802097013105,0.0286076890480537,female-biased,True,True,True,False,False,1,False,False,False,HYP_M003,59
PLA2G5,ENSG00000127472.11,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.4374394974926978,0.0529239116432608,-8.265441535034373,1.4815865911440429e-15,2.9335414504652043e-12,male-biased,True,True,False,False,True,1,False,False,False,HYP_M003,59
SFN,ENSG00000175793.12,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.4187741010352619,0.0686722935351165,6.098152245652255,2.265164029260289e-09,2.571120295745665e-06,female-biased,True,True,False,False,True,1,False,False,False,HYP_M001,152
SERPINE1,ENSG00000106366.9,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.6850779098602217,0.1255194193975058,-5.457943584734542,7.864889185837983e-08,3.460551241768713e-05,male-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
DES,ENSG00000175084.13,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.5468816190037812,0.1007216847836694,-5.429631366655315,9.13258140385103e-08,3.616502235925008e-05,male-biased,True,True,False,False,True,1,False,False,False,HYP_M026,1
ADRA2C,ENSG00000184160.8,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.4209305415102989,0.0795337040831769,-5.292480041795697,1.866603645813006e-07,6.719773124926822e-05,male-biased,True,True,False,False,True,1,False,False,False,HYP_M017,1
DRD2,ENSG00000149295.14,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.2467629770891317,0.0526217216529703,-4.6893748311103165,3.611191020513906e-06,0.0007150158220617,male-biased,False,True,True,False,True,1,False,False,False,HYP_M004,43
BCL2,ENSG00000171791.14,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.1528429321980653,0.0334881799659626,4.564085965657569,6.435961008911651e-06,0.0010619335664704,female-biased,False,True,False,False,True,1,False,True,False,HYP_M001,152
KRT19,ENSG00000171345.13,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.4038970886411377,0.0897668223661552,-4.4994027636809735,8.628862266874177e-06,0.0013142420991085,male-biased,True,True,False,False,True,1,False,False,False,HYP_M001,152
CES1,ENSG00000198848.13,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.4160592527022898,0.0960515979223317,4.33162239569111,1.816177683390089e-05,0.0023200205245886,female-biased,True,True,True,False,False,1,False,False,False,HYP_M003,59
CLCNKB,ENSG00000184908.20,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.1125489201305493,0.0265991356564899,4.231299903276682,2.802180862362443e-05,0.0030583789832373,female-biased,False,True,False,False,True,1,False,False,False,HYP_M009,2
TNFRSF10B,ENSG00000120889.13,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.1702895339226524,0.0446579601742162,-3.813195525687512,0.0001557492400872,0.0094887229345469,male-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
SLPI,ENSG00000124107.5,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.4459050833979731,0.1251139581795743,3.563991499317541,0.0004031734389671,0.0185647304454641,female-biased,True,True,False,False,True,1,False,False,False,HYP_M053,1
HTR2A,ENSG00000102468.11,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.2223124454748181,0.0644173809174909,3.451125182496432,0.0006094183532491,0.024376734129967,female-biased,False,True,True,False,True,1,False,False,False,HYP_M004,43
FETUB,ENSG00000090512.12,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.0896025374779218,0.0267218801370823,3.353152436066011,0.0008645286391208,0.0305672625974889,female-biased,False,True,False,False,True,1,False,False,False,HYP_M028,1
GSTO2,ENSG00000065621.15,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.1248684359383361,0.0373738081876174,-3.3410680365108507,0.0009021122298685,0.031064038524169,male-biased,False,True,False,False,True,1,False,False,False,HYP_M003,59
GSTM5,ENSG00000134201.12,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.2960440747529604,0.0894338583365785,3.310201306968302,0.0010051169129428,0.0328947353326756,female-biased,True,True,False,False,True,1,False,False,False,HYP_M003,59
