mode,label,affinity_kcal_mol,full_receptor_frame_rmsd_A,full_aligned_rmsd_A,core_receptor_frame_rmsd_A,core_aligned_rmsd_A,excluded_linker_sidechain_aligned_rmsd_A,core_atom_count,excluded_atom_count,mobile_centroid_minus_crystal_centroid_A,geometric_interpretation
1,Top1,-8.517,2.3464767887196336,1.621086622360332,2.097749684028604,1.4671020820081495,2.03316928579785,19,6,"[-0.7157600000000173, -0.9824399999999969, -0.6357599999999994]",core preserved; deviation is concentrated in excluded linker/side-chain atoms
2,Top2,-8.37,2.0412748467563113,0.9326248305273697,2.019177060091562,0.8735018720973754,1.0990618705901225,19,6,"[-0.14096000000000686, -1.344920000000002, -0.6542399999999997]",core and overall ligand geometry preserved after full-heavy-atom alignment
15,Mode15,-7.72,1.3583585241017928,1.131642162587107,1.4070364713037637,1.1988494065408206,0.8857945126568877,19,6,"[-0.15136000000001815, 0.34240000000000137, -0.2749999999999977]",core and overall ligand geometry preserved after full-heavy-atom alignment
