algorithm,rank,gene_symbol,score,top25_flag
MCC,1,IL6,1405064.0,True
MCC,2,IL1B,1387812.0,True
MCC,3,TNF,1358450.0,True
MCC,4,IFNG,1259400.0,True
MCC,5,IL1A,1180800.0,True
MCC,6,IL13,1146480.0,True
MCC,7,IL4,1142160.0,True
MCC,8,CD80,816480.0,True
MCC,9,CD86,816480.0,True
MCC,10,IL5,726480.0,True
MCC,11,STAT3,665790.0,True
MCC,12,IL18,404641.0,True
MCC,13,IL33,362880.0,True
MCC,14,AKT1,195188.0,True
MCC,15,TP53,152449.0,True
MCC,16,PPARG,140977.0,True
MCC,17,SIRT1,123588.0,True
MCC,18,CXCR4,97200.0,True
MCC,19,RELA,84132.0,True
MCC,20,MMP9,49244.0,True
MCC,21,ESR1,47576.0,True
MCC,22,NFE2L2,40340.0,True
MCC,23,STAT6,13680.0,True
MCC,24,TIMP1,10920.0,True
MCC,25,CCR7,10806.0,True
MCC,26,CEBPB,3423.0,False
MCC,27,ADIPOQ,2178.0,False
MCC,28,CEBPA,1898.0,False
MCC,29,MMP2,1688.0,False
MCC,30,PPARA,979.0,False
MCC,31,NR3C1,966.0,False
MCC,32,NLRP3,722.0,False
MCC,33,CD36,415.0,False
MCC,34,AR,361.0,False
MCC,35,SREBF1,298.0,False
MCC,36,CCN2,242.0,False
MCC,37,PGR,240.0,False
MCC,38,FASN,147.0,False
MCC,39,LEPR,132.0,False
MCC,40,ACACA,96.0,False
MCC,41,BECN1,73.0,False
MCC,42,RXRA,72.0,False
MCC,43,NOS3,56.0,False
MCC,44,HMGCR,51.0,False
MCC,45,ATG5,48.0,False
MCC,46,SQSTM1,38.0,False
MCC,47,ACLY,27.0,False
MCC,48,ACE,15.0,False
MCC,49,FAS,12.0,False
MCC,50,TXN,12.0,False
MCC,51,EPAS1,8.0,False
MCC,52,PPARD,8.0,False
MCC,53,SLC2A1,8.0,False
MCC,54,NR4A1,6.0,False
MCC,55,TIMP2,6.0,False
MCC,56,G6PD,5.0,False
MCC,57,GSR,4.0,False
MCC,58,ATF4,3.0,False
MCC,59,CYP17A1,3.0,False
