stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000219070,9606.ENSP00000385675,9606.ENSP00000219070,9606.ENSP00000385675,9606,0.847,0.0,0,0.0,0.116,0.0,0.4,0.734
9606.ENSP00000219070,9606.ENSP00000264657,9606.ENSP00000219070,9606.ENSP00000264657,9606,0.916,0.0,0,0.0,0.074,0.226,0.5,0.793
9606.ENSP00000219070,9606.ENSP00000361405,9606.ENSP00000219070,9606.ENSP00000361405,9606,0.918,0.0,0,0.061,0.128,0.0,0.9,0.116
9606.ENSP00000219070,9606.ENSP00000352798,9606.ENSP00000219070,9606.ENSP00000352798,9606,0.96,0.0,0,0.0,0.115,0.503,0.75,0.687
9606.ENSP00000219070,9606.ENSP00000262768,9606.ENSP00000219070,9606.ENSP00000262768,9606,0.999,0.0,0,0.0,0.154,0.985,0.5,0.999
9606.ENSP00000221130,9606.ENSP00000363641,9606.ENSP00000221130,9606.ENSP00000363641,9606,0.916,0.0,0,0.0,0.115,0.197,0.0,0.891
9606.ENSP00000221130,9606.ENSP00000380252,9606.ENSP00000221130,9606.ENSP00000380252,9606,0.93,0.0,0,0.0,0.049,0.0,0.75,0.731
9606.ENSP00000221130,9606.ENSP00000377192,9606.ENSP00000221130,9606.ENSP00000377192,9606,0.932,0.046,0,0.0,0.212,0.0,0.0,0.916
9606.ENSP00000229135,9606.ENSP00000386884,9606.ENSP00000229135,9606.ENSP00000386884,9606,0.711,0.0,0,0.0,0.042,0.0,0.0,0.71
9606.ENSP00000229135,9606.ENSP00000361405,9606.ENSP00000229135,9606.ENSP00000361405,9606,0.751,0.0,0,0.0,0.091,0.0,0.0,0.737
9606.ENSP00000229135,9606.ENSP00000370842,9606.ENSP00000229135,9606.ENSP00000370842,9606,0.778,0.0,0,0.0,0.0,0.0,0.0,0.778
9606.ENSP00000229135,9606.ENSP00000330393,9606.ENSP00000229135,9606.ENSP00000330393,9606,0.778,0.0,0,0.0,0.0,0.0,0.65,0.392
9606.ENSP00000229135,9606.ENSP00000451828,9606.ENSP00000229135,9606.ENSP00000451828,9606,0.817,0.0,0,0.0,0.049,0.0,0.0,0.816
9606.ENSP00000229135,9606.ENSP00000269305,9606.ENSP00000229135,9606.ENSP00000269305,9606,0.834,0.0,0,0.0,0.086,0.0,0.0,0.826
9606.ENSP00000229135,9606.ENSP00000246657,9606.ENSP00000229135,9606.ENSP00000246657,9606,0.841,0.0,0,0.0,0.125,0.0,0.0,0.825
9606.ENSP00000229135,9606.ENSP00000300134,9606.ENSP00000229135,9606.ENSP00000300134,9606,0.9,0.0,0,0.0,0.054,0.292,0.0,0.863
9606.ENSP00000229135,9606.ENSP00000264657,9606.ENSP00000229135,9606.ENSP00000264657,9606,0.907,0.0,0,0.0,0.058,0.0,0.0,0.905
9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000229135,9606.ENSP00000264246,9606,0.943,0.0,0,0.0,0.138,0.0,0.0,0.937
9606.ENSP00000229135,9606.ENSP00000332049,9606.ENSP00000229135,9606.ENSP00000332049,9606,0.943,0.0,0,0.0,0.229,0.0,0.0,0.929
9606.ENSP00000229135,9606.ENSP00000280357,9606.ENSP00000229135,9606.ENSP00000280357,9606,0.949,0.0,0,0.0,0.104,0.0,0.0,0.945
9606.ENSP00000229135,9606.ENSP00000231454,9606.ENSP00000229135,9606.ENSP00000231454,9606,0.96,0.0,0,0.0,0.072,0.0,0.0,0.959
9606.ENSP00000229135,9606.ENSP00000304915,9606.ENSP00000229135,9606.ENSP00000304915,9606,0.961,0.0,0,0.0,0.072,0.0,0.0,0.96
9606.ENSP00000229135,9606.ENSP00000263339,9606.ENSP00000229135,9606.ENSP00000263339,9606,0.971,0.0,0,0.0,0.166,0.0,0.0,0.966
9606.ENSP00000229135,9606.ENSP00000385675,9606.ENSP00000229135,9606.ENSP00000385675,9606,0.983,0.0,0,0.0,0.128,0.0,0.0,0.981
9606.ENSP00000229135,9606.ENSP00000231449,9606.ENSP00000229135,9606.ENSP00000231449,9606,0.99,0.0,0,0.0,0.11,0.0,0.0,0.99
9606.ENSP00000229135,9606.ENSP00000398698,9606.ENSP00000229135,9606.ENSP00000398698,9606,0.991,0.0,0,0.0,0.202,0.0,0.0,0.99
9606.ENSP00000229135,9606.ENSP00000263341,9606.ENSP00000229135,9606.ENSP00000263341,9606,0.998,0.0,0,0.0,0.273,0.0,0.0,0.997
9606.ENSP00000231449,9606.ENSP00000269305,9606.ENSP00000231449,9606.ENSP00000269305,9606,0.718,0.0,0,0.0,0.0,0.0,0.0,0.718
9606.ENSP00000231449,9606.ENSP00000246657,9606.ENSP00000231449,9606.ENSP00000246657,9606,0.735,0.0,0,0.0,0.047,0.0,0.0,0.734
9606.ENSP00000231449,9606.ENSP00000330393,9606.ENSP00000231449,9606.ENSP00000330393,9606,0.744,0.0,0,0.0,0.0,0.0,0.65,0.299
9606.ENSP00000231449,9606.ENSP00000415743,9606.ENSP00000231449,9606.ENSP00000415743,9606,0.888,0.0,0,0.0,0.0,0.0,0.75,0.572
9606.ENSP00000231449,9606.ENSP00000264246,9606.ENSP00000231449,9606.ENSP00000264246,9606,0.894,0.0,0,0.0,0.044,0.0,0.0,0.894
9606.ENSP00000231449,9606.ENSP00000280357,9606.ENSP00000231449,9606.ENSP00000280357,9606,0.897,0.0,0,0.0,0.0,0.0,0.4,0.836
9606.ENSP00000231449,9606.ENSP00000370842,9606.ENSP00000231449,9606.ENSP00000370842,9606,0.908,0.0,0,0.0,0.085,0.0,0.0,0.904
9606.ENSP00000231449,9606.ENSP00000332049,9606.ENSP00000231449,9606.ENSP00000332049,9606,0.917,0.0,0,0.0,0.0,0.0,0.0,0.917
9606.ENSP00000231449,9606.ENSP00000264657,9606.ENSP00000231449,9606.ENSP00000264657,9606,0.92,0.0,0,0.0,0.0,0.0,0.5,0.848
9606.ENSP00000231449,9606.ENSP00000398698,9606.ENSP00000231449,9606.ENSP00000398698,9606,0.977,0.0,0,0.0,0.055,0.0,0.4,0.963
9606.ENSP00000231449,9606.ENSP00000385675,9606.ENSP00000231449,9606.ENSP00000385675,9606,0.986,0.0,0,0.0,0.044,0.0,0.4,0.978
9606.ENSP00000231449,9606.ENSP00000231454,9606.ENSP00000231449,9606.ENSP00000231454,9606,0.988,0.0,0,0.0,0.351,0.0,0.0,0.983
9606.ENSP00000231449,9606.ENSP00000304915,9606.ENSP00000231449,9606.ENSP00000304915,9606,0.993,0.0,0,0.0,0.301,0.0,0.0,0.991
