set_name,background_n,set_n,genes
consensus_hub_ge7of8,97,18,ADIPOQ;AKT1;CD36;CEBPB;ESR1;IFNG;IL1B;IL4;IL6;MMP9;NFE2L2;PPARA;PPARG;RELA;SIRT1;STAT3;TNF;TP53
original_degree_top20,97,20,ADIPOQ;AKT1;CEBPB;ESR1;IFNG;IL13;IL18;IL1A;IL1B;IL4;IL6;MMP9;PPARA;PPARG;RELA;SIRT1;SREBF1;STAT3;TNF;TP53
tier1,97,16,ADIPOQ;CEBPB;ESR1;IFNG;IL13;IL18;IL1A;IL1B;IL6;MMP9;PPARA;PPARG;RELA;SREBF1;STAT3;TP53
stable_ml,97,17,ACACA;AGTR1;ANGPT2;BMP2;CD36;CEBPB;CNR1;EPAS1;FABP1;FASN;INHBA;MKI67;NR3C1;RXRA;TIMP1;UBE2C;VEGFA
consensus_hub_ge7of8 ∩ original_degree_top20,97,16,ADIPOQ;AKT1;CEBPB;ESR1;IFNG;IL1B;IL4;IL6;MMP9;PPARA;PPARG;RELA;SIRT1;STAT3;TNF;TP53
consensus_hub_ge7of8 ∩ tier1,97,12,ADIPOQ;CEBPB;ESR1;IFNG;IL1B;IL6;MMP9;PPARA;PPARG;RELA;STAT3;TP53
consensus_hub_ge7of8 ∩ stable_ml,97,2,CD36;CEBPB
tier1 ∩ stable_ml,97,1,CEBPB
