"cohort","patient_id","normal_sample","tumor_sample","normal_pseudobulk_cpm","tumor_pseudobulk_cpm","normal_log1p_pseudobulk_cpm","tumor_log1p_pseudobulk_cpm","delta_log1p_tumor_minus_normal","cell_n_normal","cell_n_tumor","normal_passes_min_cells","tumor_passes_min_cells","primary_pair_included"
"GSE132465","SMC01","SMC01-N","SMC01-T",70.6433085966484,311.697422133007,4.27169975977555,5.74523602053153,1.47353626075598,159,1093,TRUE,TRUE,TRUE
"GSE132465","SMC02","SMC02-N","SMC02-T",80.973404322494,235.708401754925,4.4063948571249,5.46682901126357,1.06043415413867,119,352,TRUE,TRUE,TRUE
"GSE132465","SMC03","SMC03-N","SMC03-T",138.836607889244,113.834917794204,4.94047465452809,4.74349559960801,-0.196979054920083,65,796,TRUE,TRUE,TRUE
"GSE132465","SMC04","SMC04-N","SMC04-T",77.899509632574,143.776758874078,4.36817501278276,4.97519296205603,0.607017949273277,169,307,TRUE,TRUE,TRUE
"GSE132465","SMC07","SMC07-N","SMC07-T",43.3804576559409,176.586065008684,3.79279922966265,5.17945536469076,1.38665613502811,128,542,TRUE,TRUE,TRUE
"GSE132465","SMC09","SMC09-N","SMC09-T",65.8605337337654,113.539598483486,4.20260886381629,4.74092060148974,0.538311737673455,189,1887,TRUE,TRUE,TRUE
"GSE132465","SMC10","SMC10-N","SMC10-T",58.3586662998408,69.9880187473413,4.08359813061212,4.26251111276398,0.178912982151859,125,511,TRUE,TRUE,TRUE
"GSE294300","patient_04","GSE294300_Nor_04","GSE294300_Tum_04",147.104781611152,133.947941087872,4.99792000712091,4.90488908249599,-0.0930309246249141,1357,3016,TRUE,TRUE,TRUE
"GSE294300","patient_08","GSE294300_Nor8","GSE294300_Tum8",122.109528269829,141.956306988158,4.81307443287433,4.962539038034,0.149464605159669,388,1432,TRUE,TRUE,TRUE
"GSE294300","patient_09","GSE294300_nor_09","GSE294300_tum_09",166.748104379131,314.569677183496,5.12246347551451,5.75437950445555,0.631916028941039,658,75,TRUE,TRUE,TRUE
"GSE294300","patient_10","GSE294300_nor_10","GSE294300_tum_10",97.0731683060646,76.4727176664911,4.58571381545998,4.34992584427236,-0.235787971187611,459,2314,TRUE,TRUE,TRUE
"GSE294300","patient_11","GSE294300_nor_11","GSE294300_tum_11",61.9380529378908,145.756765719048,4.14215095594789,4.98877656135277,0.846625605404884,102,480,TRUE,TRUE,TRUE
"GSE294300","patient_17","GSE294300_nor_17","GSE294300_tum_17",97.2899606561311,214.306437736147,4.58792189229492,5.37206230515945,0.784140412864531,420,283,TRUE,TRUE,TRUE
"GSE294300","patient_18","GSE294300_nor_18","GSE294300_tum_18",82.0155396235642,166.003150021361,4.41902781465259,5.11801267464222,0.698984859989632,201,469,TRUE,TRUE,TRUE
"GSE294300","patient_19","GSE294300_nor_19","GSE294300_tum_19",79.7545156009802,291.312466385962,4.39141388129443,5.6778233204926,1.28640943919817,171,578,TRUE,TRUE,TRUE
"GSE294300","patient_20","GSE294300_nor_20","GSE294300_tum_20",242.844553796438,227.433119533186,5.49653094767018,5.43124347398212,-0.0652874736880626,1267,134,TRUE,TRUE,TRUE
"GSE294300","patient_23","GSE294300_nor_23","GSE294300_tum_23",62.4802657196444,352.086063353137,4.15072908152916,5.86671183275052,1.71598275122136,243,183,TRUE,TRUE,TRUE
