"cohort","patient_id","normal_sample","tumor_sample","normal_pseudobulk_cpm","tumor_pseudobulk_cpm","delta_pseudobulk_cpm","normal_log1p_pseudobulk_cpm","tumor_log1p_pseudobulk_cpm","delta_log1p_tumor_minus_normal","cell_n_normal","cell_n_tumor","normal_passes_min_cells","tumor_passes_min_cells","primary_pair_included"
"GSE132465","SMC01","SMC01-N","SMC01-T",70.6433085966484,311.697422133007,241.054113536359,4.27169975977555,5.74523602053153,1.47353626075598,159,1093,TRUE,TRUE,TRUE
"GSE132465","SMC02","SMC02-N","SMC02-T",80.973404322494,235.708401754925,154.734997432431,4.4063948571249,5.46682901126357,1.06043415413867,119,352,TRUE,TRUE,TRUE
"GSE132465","SMC03","SMC03-N","SMC03-T",138.836607889244,113.834917794204,-25.0016900950401,4.94047465452809,4.74349559960801,-0.196979054920083,65,796,TRUE,TRUE,TRUE
"GSE132465","SMC04","SMC04-N","SMC04-T",77.899509632574,143.776758874078,65.8772492415037,4.36817501278276,4.97519296205603,0.607017949273277,169,307,TRUE,TRUE,TRUE
"GSE132465","SMC05","SMC05-N","SMC05-T",56.5091894351609,87.3791709901152,30.8699815549543,4.05194475129771,4.48163631959654,0.429691568298828,75,13,TRUE,FALSE,FALSE
"GSE132465","SMC06","SMC06-N","SMC06-T",67.1596182647298,137.587672862751,70.4280545980208,4.22185228192923,4.93150314241618,0.709650860486948,23,189,FALSE,TRUE,FALSE
"GSE132465","SMC07","SMC07-N","SMC07-T",43.3804576559409,176.586065008684,133.205607352743,3.79279922966265,5.17945536469076,1.38665613502811,128,542,TRUE,TRUE,TRUE
"GSE132465","SMC08","SMC08-N","SMC08-T",100.440503350408,338.777196599813,238.336693249405,4.61947245272716,5.82829009868642,1.20881764595926,18,320,FALSE,TRUE,FALSE
"GSE132465","SMC09","SMC09-N","SMC09-T",65.8605337337654,113.539598483486,47.6790647497211,4.20260886381629,4.74092060148974,0.538311737673455,189,1887,TRUE,TRUE,TRUE
"GSE132465","SMC10","SMC10-N","SMC10-T",58.3586662998408,69.9880187473413,11.6293524475005,4.08359813061212,4.26251111276398,0.178912982151859,125,511,TRUE,TRUE,TRUE
"GSE294300","patient_01","GSE294300_nor_01","GSE294300_tum_01",107.406770922839,104.436166280857,-2.97060464198226,4.68589054944267,4.65810571084486,-0.0277848385978059,29,937,FALSE,TRUE,FALSE
"GSE294300","patient_02","GSE294300_nor_02","GSE294300_tum_02",219.875237038494,141.739677365059,-78.1355596734346,5.39759800381866,4.96102253324234,-0.436575470576319,111,20,TRUE,FALSE,FALSE
"GSE294300","patient_03","GSE294300_nor_03","GSE294300_tum_03",100.570738943504,515.971227186546,415.400488243041,4.62075549113913,6.24798721954878,1.62723172840966,42,60,FALSE,TRUE,FALSE
"GSE294300","patient_04","GSE294300_Nor_04","GSE294300_Tum_04",147.104781611152,133.947941087872,-13.1568405232804,4.99792000712091,4.90488908249599,-0.0930309246249141,1357,3016,TRUE,TRUE,TRUE
"GSE294300","patient_06","GSE294300_Nor6","GSE294300_Tum6",110.725129535061,98.7943897534283,-11.9307397816329,4.71604165422865,4.60311196684179,-0.112929687386861,357,22,TRUE,FALSE,FALSE
"GSE294300","patient_07","GSE294300_Nor7","GSE294300_Tum7",119.966409405366,379.228614522732,259.262205117366,4.79551289883633,5.94077268898646,1.14525979015013,47,23,FALSE,FALSE,FALSE
"GSE294300","patient_08","GSE294300_Nor8","GSE294300_Tum8",122.109528269829,141.956306988158,19.8467787183289,4.81307443287433,4.962539038034,0.149464605159669,388,1432,TRUE,TRUE,TRUE
"GSE294300","patient_09","GSE294300_nor_09","GSE294300_tum_09",166.748104379131,314.569677183496,147.821572804365,5.12246347551451,5.75437950445555,0.631916028941039,658,75,TRUE,TRUE,TRUE
"GSE294300","patient_10","GSE294300_nor_10","GSE294300_tum_10",97.0731683060646,76.4727176664911,-20.6004506395735,4.58571381545998,4.34992584427236,-0.235787971187611,459,2314,TRUE,TRUE,TRUE
"GSE294300","patient_11","GSE294300_nor_11","GSE294300_tum_11",61.9380529378908,145.756765719048,83.8187127811567,4.14215095594789,4.98877656135277,0.846625605404884,102,480,TRUE,TRUE,TRUE
"GSE294300","patient_15","GSE294300_nor_15","GSE294300_tum_15",28.0371211484005,126.37725708081,98.3401359324096,3.36857505103425,4.847153211353,1.47857816031875,7,101,FALSE,TRUE,FALSE
"GSE294300","patient_16","GSE294300_nor_16","GSE294300_tum_16",60.3081747730905,211.768692116557,151.460517343467,4.11591319087133,5.36020562313135,1.24429243226001,24,70,FALSE,TRUE,FALSE
