#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
0.1%,55000,109.99999999992504,-664773.6174222692,132033.3057760714,-532740.3116461978,308.7293386945937,508.00984185966564,1.0083118248887646,0,--
0.1%,60000,119.99999999990173,-666015.2044060621,133362.77268396463,-532652.4317220976,311.8379894768921,508.05245737993323,1.0082272475338372,98.4,1:0:21:31
0.1%,65000,129.99999999989262,-666607.2897669952,132715.5956316993,-533891.6941352959,310.32471566927376,508.27697754526275,1.0077818853429321,98.7,1:0:17:40
0.1%,70000,139.99999999994037,-665755.3204977415,133493.3837248134,-532261.9367729281,312.1433931781055,508.28630270383763,1.0077633963027206,98.7,1:0:17:37
0.1%,75000,149.99999999998812,-666126.8515098835,132994.4315894618,-533132.4199204217,310.9767090457805,508.1129591644504,1.008107196378726,98.7,1:0:16:26
0.2%,80000,160.00000000003587,-666546.6853486355,133929.28647235688,-532617.3988762787,313.1626509039743,509.11723925666905,1.0061186131800433,98.8,1:0:15:35
0.2%,85000,170.00000000008362,-666572.862706427,132846.61306152257,-533726.2496449044,310.63106961708297,509.5965198566599,1.005172348608373,98.7,1:0:17:10
0.2%,90000,180.00000000013137,-665714.1595456516,131638.0333622606,-534076.1261833911,307.80508560403655,508.55858821801934,1.0072238333479444,98.7,1:0:15:55
0.2%,95000,190.0000000001791,-666160.6289571603,133056.53668465314,-533104.0922725071,311.12192744242134,508.4411410339531,1.007456496666083,98.6,1:0:16:58
0.2%,100000,200.00000000022686,-666402.5385227809,132928.7504305401,-533473.7880922408,310.8231288514545,509.6785438489469,1.005010583413498,98.5,1:0:18:48
0.2%,105000,210.0000000002746,-665768.4766759905,132829.60566681495,-532938.8710091755,310.59130175934337,509.1986439453548,1.005957766772731,98.4,1:0:19:40
0.2%,110000,220.00000000032236,-666573.2840187214,132740.69685715882,-533832.5871615626,310.3834090776603,508.8635489526544,1.0066202064605558,98.4,1:0:20:49
0.2%,115000,230.0000000003701,-666034.5515103354,131168.60006586794,-534865.9514444675,306.7074244472195,510.4364967849865,1.0035182318139415,98.3,1:0:21:48
0.2%,120000,240.00000000041786,-666311.3378570848,133349.96157114214,-532961.3762859427,311.80803365350056,508.9850364979116,1.0063799404230107,98.2,1:0:22:47
0.2%,125000,250.0000000004656,-667431.42986573,132492.15861708473,-534939.2712486453,309.8022599043712,507.1663052319806,1.0099888841642868,98.2,1:0:22:10
0.3%,130000,260.00000000051335,-666530.5586279496,132345.7816937366,-534184.776934213,309.45999133448424,508.62776299467146,1.007086848132469,98.2,1:0:22:58
0.3%,135000,270.0000000005611,-665642.4079885678,132307.26634742256,-533335.1416411453,309.36993210793355,509.58127171941817,1.0052024262559902,98.1,1:0:23:22
0.3%,140000,280.00000000060885,-664332.426053898,132810.75434704527,-531521.6717068527,310.54722230945146,509.8859516088083,1.004601772397848,98.1,1:0:23:19
0.3%,145000,290.0000000006566,-666645.5716848667,132523.70385463838,-534121.8678302283,309.876021144171,510.14943667720877,1.0040829095947454,98.1,1:0:23:56
0.3%,150000,300.00000000070435,-665901.3244816759,131614.5524705026,-534286.7720111733,307.75018097113497,508.590403603842,1.0071608254448445,98.1,1:0:24:09
0.3%,155000,310.0000000007521,-668419.220633504,133356.1168106977,-535063.1038228063,311.82242625714196,505.8072822522253,1.012702562181663,98,1:0:24:28
0.3%,160000,320.00000000079984,-666214.4682772863,133307.69517384033,-532906.773103446,311.70920346204775,507.98577379829044,1.0083595980984459,98,1:0:25:02
0.3%,165000,330.0000000008476,-666390.3693571002,132800.63742708514,-533589.7319300151,310.52356623274744,508.7998624284556,1.0067462052016556,98,1:0:25:08
0.3%,170000,340.00000000089534,-666357.9824849041,132265.04829245148,-534092.9341924526,309.2712149538369,509.2239396392602,1.005907795831129,97.9,1:0:25:27
0.3%,175000,350.0000000009431,-666859.8224501768,132496.03705804917,-534363.7853921277,309.8113287412611,509.70545391084295,1.0049575235594226,97.9,1:0:25:35
0.4%,180000,360.00000000099084,-667885.1529708873,132944.52514829152,-534940.6278225958,310.8600143793209,507.6761481978721,1.008974584536369,97.8,1:0:26:32
0.4%,185000,370.0000000010386,-666005.8110935856,132978.78345702903,-533027.0276365565,310.9401195083954,506.987659921039,1.010344770101012,97.8,1:0:26:12
