frame,time_ps,protein_backbone_rmsd_A,whole_ligand_rmsd_A,ligand_heavy_rmsd_A,core_rmsd_A,branch_A_rmsd_A,branch_B_rmsd_A,ligand_com_displacement_A,core_com_displacement_A,pocket_contact_retention,core_contact_occupancy,nearest_pocket_distance_A
4999,50000.000149070285,2.3135666304209437,2.4307510042834637,2.4307510042834637,2.8100982937787538,2.0282963626904933,2.5901860486864745,1.3453525897796923,2.569190317292015,0.6818181818181818,0.42857142857142855,3.146057223378708
5000,50010.0001491001,2.362103651049801,2.2582816060518636,2.2582816060518636,2.2978900797050854,1.9700472963318802,2.495666999339533,1.4390822152863176,2.0947369502896214,0.6818181818181818,0.5714285714285714,2.8818869347442067
5001,50020.00014912991,2.2936533343934125,2.101991007711856,2.101991007711856,1.8179325644673872,1.7825522920519101,2.4931874002727423,0.9647062701781878,1.603980178826447,0.5909090909090909,0.5714285714285714,3.09070661003441
5002,50030.00014915973,2.4012248265840204,2.0430081853977122,2.0430081853977122,1.9254673926998944,1.894122571813356,2.2345678456419766,0.749182570933708,1.5870467411609017,0.6363636363636364,0.42857142857142855,3.011750036931612
5003,50040.00014918954,2.3447896169393383,2.2708028318718076,2.2708028318718076,2.1615962816345684,1.981339311604546,2.574763881017981,1.170903115252469,1.9486041988951808,0.7727272727272727,0.5714285714285714,2.805555206687277
5004,50050.000149219355,2.3978353770066545,2.29917834583641,2.29917834583641,2.061012434654861,2.2246063869379196,2.4784658481007282,1.4060772708576428,1.859222831078029,0.5454545454545454,0.2857142857142857,3.089402598332569
5005,50060.00014924917,2.355502763377931,2.3666132409409077,2.3666132409409077,2.4425483653410165,2.2015126276150077,2.484444902272678,1.30593595968928,2.1888075088822343,0.5454545454545454,0.42857142857142855,2.921800596456157
5006,50070.00014927898,2.494674709559188,2.179578611832577,2.179578611832577,2.4205527240358915,1.967680640190533,2.252798807305181,0.8197214829021894,2.12231263481231,0.5909090909090909,0.5714285714285714,2.9138213395330483
5007,50080.0001493088,2.5438849285056415,2.181165164537766,2.181165164537766,2.2672870821251645,1.901338784830421,2.3892088976053154,1.1386403766359032,2.032231193089399,0.8181818181818182,0.7142857142857143,2.9295572914948833
5008,50090.00014933861,2.461929325442595,2.1934243684982078,2.1934243684982078,2.171832171017508,1.9598058215766279,2.4142306855363787,1.00922361549189,1.913776839004261,0.6818181818181818,0.5714285714285714,2.8418425490283563
5009,50100.000149368425,2.467015756726455,2.284928638711723,2.284928638711723,2.654036827537999,1.8928506482275465,2.438730795424762,1.0040224053516984,2.3604255470447533,0.7272727272727273,0.5714285714285714,3.0835253446692117
5010,50110.00014939824,2.4819960320629444,2.2446809398115866,2.2446809398115866,2.4127918351626056,2.02147228443056,2.3662943365627602,0.9025063127808178,2.1116159859664294,0.5909090909090909,0.5714285714285714,3.0565019217053226
5011,50120.00014942805,2.448378560722255,2.2167485740803006,2.2167485740803006,1.8789822707155304,2.229055874989798,2.356047181416246,1.121903505369023,1.6317617714239745,0.7272727272727273,0.42857142857142855,3.052221785117181
5012,50130.00014945787,2.4144129999803257,2.1276890677114615,2.1276890677114615,1.8770514185078087,2.1460189741350586,2.2249929148063363,0.6556429015316264,1.520309300722443,0.7727272727272727,0.7142857142857143,2.948121068710266
5013,50140.000149487685,2.340652760766054,2.4762968672304435,2.4762968672304435,2.250835743743405,2.280274344072864,2.7563261018509544,1.2538651347510354,1.9726758601788152,0.8181818181818182,0.7142857142857143,3.2162798047145458
5014,50150.000149517495,2.3431203248510286,2.476170518723469,2.476170518723469,1.874855942605341,2.4355318556451606,2.763909056366452,1.1606231429433849,1.5837649725591794,0.6818181818181818,0.5714285714285714,2.996811779056296
5015,50160.00014954731,2.4037344066210715,2.272450846416378,2.272450846416378,2.392549160733621,2.093232529251331,2.380402058196636,0.7804409316359163,2.0286750923447454,0.6363636363636364,0.42857142857142855,3.1513104526663134
5016,50170.00014957712,2.3464476003154546,2.366853997723564,2.366853997723564,2.332911209263868,2.058342623780503,2.6546153966862946,1.235223199644217,2.0900113972190533,0.5454545454545454,0.42857142857142855,3.173356045620597
5017,50180.00014960694,2.200926755737401,2.1603333510733136,2.1603333510733136,2.0869786593820336,2.0443346240349674,2.3044644610001956,1.0188285307271976,1.8664722219161158,0.7272727272727273,0.42857142857142855,2.9571470957953254
5018,50190.000149636755,2.3941011844570292,2.3568595699768644,2.3568595699768644,2.3744360663744457,2.005294247097423,2.654578920918896,1.4242492765656598,2.1880110089215954,0.7727272727272727,0.5714285714285714,3.2293133963600855
5019,50200.000149666565,2.517444643879723,2.418215713481061,2.418215713481061,2.3884684464932393,2.0407926847677276,2.7572073825101375,1.4234989091909345,2.1665025501142603,0.6818181818181818,0.5714285714285714,3.1324567771266016
5020,50210.00014969638,2.3181046606338613,2.0677922556773614,2.0677922556773614,2.1854775637851214,1.8044832583467791,2.2461291394397365,1.0831117721942365,1.9272621457420975,0.5909090909090909,0.5714285714285714,3.161450642566087
5021,50220.00014972619,2.4237391099489596,2.047459344871464,2.047459344871464,1.8008206480003384,1.8045485706262605,2.3669286798237614,0.7996885615094456,1.537215801941896,0.6363636363636364,0.5714285714285714,2.8961404117600282
5022,50230.00014975601,2.48097950684376,2.4157796148850403,2.4157796148850403,2.5821671308892915,1.910690578367384,2.757797279904903,1.3463529878677547,2.3255181979441963,0.6818181818181818,0.5714285714285714,3.029351446610557
5023,50240.000149785825,2.51755067457643,2.1604202185216552,2.1604202185216552,2.3836050774517976,1.9088305507470764,2.276865860651546,0.8678013740408957,2.0795182084637247,0.6363636363636364,0.2857142857142857,3.0818647998523367
5024,50250.000149815634,2.3962392169581266,2.048605876346243,2.048605876346243,1.9511101884987012,1.9197082784491983,2.214332796424871,0.8524672876009934,1.7070313173771072,0.7272727272727273,0.5714285714285714,3.0369135736472335
5025,50260.00014984545,2.300006958081789,2.0436570814409345,2.0436570814409345,1.9044576098983796,1.990705507257758,2.1598490354033775,0.8765004593432143,1.6902023543376454,0.5909090909090909,0.42857142857142855,2.887558482103659
5026,50270.00014987527,2.321525842962822,2.0721306678863134,2.0721306678863134,1.875797402723328,1.896008638435647,2.3195165567275136,0.920541732964817,1.6533015353131915,0.7272727272727273,0.42857142857142855,3.144908783572492
5027,50280.00014990508,2.4009424731699385,2.3432367313623264,2.3432367313623264,2.471777724842743,2.052007561753454,2.541912341920205,1.3674318139309574,2.223748215285194,0.7272727272727273,0.42857142857142855,3.2748777207751987
