cycle,weight_source,expected_weight_source,N,nonzero_base_weight_N,nonzero_pooled_weight_N,near_zero_sas_missing_sentinel_N,usable_base_weight_N_gt_1e-12,usable_pooled_weight_N_gt_1e-12,base_weight_sum,pooled_weight_sum,base_weight_min,base_weight_max,pooled_weight_min,pooled_weight_max,weight_rule
2005-2006,WTSB2YR,WTSB2YR,1543,1543,1543,23,1520,1520,210152592.22495398,30021798.889279142,5.397605346934028e-79,486352.50255388475,7.710864781334325e-80,69478.92893626925,WTSB2YR / 7
2007-2008,WTSB2YR,WTSB2YR,1900,1900,1900,29,1871,1871,215028234.17999914,30718319.1685713,5.397605346934028e-79,533131.1675709564,7.710864781334325e-80,76161.59536727949,WTSB2YR / 7
2009-2010,WTSB2YR,WTSB2YR,1967,1967,1967,28,1939,1939,219086139.266971,31298019.89528157,5.397605346934028e-79,426061.06902420777,7.710864781334325e-80,60865.867003458254,WTSB2YR / 7
2011-2012,WTSA2YR,WTSA2YR,1775,1750,1750,0,1750,1750,223966889.997375,31995269.999625,12199.65221886062,643202.3505019023,1742.8074598372314,91886.05007170033,WTSA2YR / 7
2013-2014,WTSB2YR,WTSB2YR,1863,1863,1863,12,1851,1851,229151595.997211,32735942.285315856,5.397605346934028e-79,482310.788303,7.710864781334325e-80,68901.54118614286,WTSB2YR / 7
2015-2016,WTSB2YR,WTSB2YR,1751,1751,1751,18,1733,1733,234507385.997247,33501055.14246386,5.397605346934028e-79,874638.011593,7.710864781334325e-80,124948.28737042857,WTSB2YR / 7
2017-2018,WTSB2YR,WTSB2YR,1765,1765,1765,23,1742,1742,238737538.879501,34105362.69707157,5.397605346934028e-79,1395405.465402,7.710864781334325e-80,199343.63791457142,WTSB2YR / 7
